category,model_number,product_name,product_url,specs,sku_frame_only,sku_canopy_only,sku_ribs,sku_bottom_pole,sku_bar_height_pole,sku_hub,sku_finial_top,sku_pin_and_chain,sku_crank_handle,finishes_list,finish_count
Commercial,725,725 7.5' Commercial Use,https://www.galtechcorp.com/725.htm,"Manual Lift | Seamless Threaded Coupling | Solid Resin Hubs and Finial | Flexible Fiberglass Ribs | Fiberglass Ribs bend and flex in windy conditions | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 46"" tables | Pole Diameter 1.5""",725XX00,75-XX,P-RIB725XX,BP-725XX,BH-725XX,P-HUB725XX,P-FINIAL725XX,P-PIN725XX,,Antique Bronze | Black | White,3
Commercial,735,735 9' Commercial Use,https://www.galtechcorp.com/735.htm,"Manual Lift | Seamless Threaded Coupling | Solid Resin Hubs and Finial | Flexible Fiberglass Ribs | Fiberglass Ribs bend and flex in windy conditions | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Pole Diameter 1.5""",735XX00,90-XX,P-RIB735XX,BP-735XX,BH-735XX,P-HUB735XX,P-FINIAL735XX,P-PIN735XX,,Antique Bronze | Black | White,3
Commercial,772,772 3.5' x 7' Half Wall,https://www.galtechcorp.com/772.htm,"Crank Lift (steel cable) | Threaded coupling | Cast Metal Housing | Solid Resin Hubs | Double walled Aluminum ribs for additional strength | Umbrella may be placed flush against wall for shade in confined areas | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Half base sold separately | Pole Diameter 1.5""",772AB00,77-AB,P-RIB772AB,BP-772AB,BH-772AB,P-HUB772AB,P-FINIAL772AB,,P-CRANKHANDLE,Antique Bronze,1
Wood,121,"121/221 7.5' Cafe, Bistro, Condos",https://www.galtechcorp.com/121.htm,"Manual Lift | Premium Finish | Threaded Coupling | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 42"" tables | Six layers of varnish for premium sealed finish | Available in both dark and light wood | Pole Diameter 1.375""",X2100,75-XX,P-RIBX21,BP-X21,BH-X21,P-HUBX21,P-FINIALX21,P-PINX21,,Dark Wood | Light Wood,2
Wood,131,131 9' All Purpose Wood,https://www.galtechcorp.com/131.htm,"Manual Lift | Premium Finish | Straight Coupling | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Six layers of varnish for premium sealed finish | Pole Diameter 1.5""",13100,90-XX,P-RIB131,BP-131,BH-131,P-HUB131,P-FINIAL131,P-PIN131,,Light Wood,1
Wood,132,132/232 9' Double Pulley,https://www.galtechcorp.com/132.htm,"Double Pulleys | Premium Finish | Threaded Coupling | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Six layers of varnish for premium sealed finish | Available in both dark and light wood | Pole Diameter 1.5""",X3200,90-XX,P-RIBX32,BP-X32,BH-X32,P-HUBX32,P-FINIALX32,P-PINX32,,Dark Wood | Light Wood,2
Wood,136,136 9' Commercial,https://www.galtechcorp.com/136.htm,"Manual Lift | Premium Finish | Single Pole | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 54"" tables | Six layers of varnish for premium sealed finish | Our most popular commercial wood umbrella | Pole Diameter 1.5""",13600,90-XX,P-RIB136,,,P-HUB136,P-FINIAL136,P-PIN136,,Light Wood,1
Wood,183,183 11' Quad Pulley,https://www.galtechcorp.com/183.htm,"Quad Pulleys (stainless steel) | Premium Finish | Threaded Coupling | Brass Trim & Decorative Ring | 8 Ribs | Commercial or Residential applications | Ideal shade coverage: up to 72"" tables | Six layers of varnish for premium sealed finish | Umbrella raises and lowers via rope and 4 pulley lift | Pole Diameter 1.75""",18300,11-XX,P-RIB183,BP183,BH183,P-HUB183,P-FINIAL183,,,Light Wood,1
Cantilever,887,887 11' Cantilever,https://www.galtechcorp.com/887.htm,"Easy Lift - Simply lift handle up to open | Easy Tilt - Tilt left or right by turning tilt wheel | Steel Cable lift | Solid Resin Hubs | New base design with retractable wheels | Double walled Aluminum ribs for additional strength | Residential applications (requires truck shipment) | Ideal shade coverage: up to 72"" tables",887XX00,,,,,P-HUB887XX,,,,Antique Bronze | Black,2
Cantilever,899,899 13' Cantilever,https://www.galtechcorp.com/899.htm,"Easy Lift - Simply lift handle up to open | Easy Tilt - Tilt left or right by turning tilt wheel | Steel Cable lift | Solid Resin Hubs | Fillable Base with retractable wheels | Double walled Aluminum ribs for additional strength | Residential applications (requires truck shipment) | Ideal shade coverage: up to 96"" tables | All Canopies are Double Wind Vent | All Canopies are Made To Order ( Non Quick Ship ) | Base holds 2 bags of Gravel",899XX00,,,,,P-HUB899XX,,,,Antique Bronze | Black,2
Cantilever,897,897 10 x 10' Cantilever,https://www.galtechcorp.com/897.htm,"Easy Lift - Simply lift handle up to open | Easy Tilt - Tilt left or right by turning tilt wheel | Tilts both left or right | Solid Resin Hubs | New base design with retractable wheels | Double walled Aluminum ribs for additional strength | Sand Filled Shell Base - holds 2 bags of sand ( 100 lbs ) | Ideal shade coverage: up to 72"" tables",897XX00,,,,,P-HUB897XX,,,,Antique Bronze | Black,2
Teak,532,532tk 9' Designer Teak,https://www.galtechcorp.com/532.htm,"Quad Pulleys (stainless steel) | Threaded Coupling | Independent Rib Support | Contemporary Silver Hardware | Ideal shade coverage: up to 54"" tables | Pole Diameter 1.5""",532TK00,90-XX,P-RIB532TK,BP532TK,BH532TK,P-HUB532TK,P-FINIAL532TK,,,Teak,1
Teak,537,537tk 9' Rotational Tilt,https://www.galtechcorp.com/537.htm,"Rotational Tilt | Crank Lift (Steel Cable) | Metal Crank Housing | Push Button Coupling | 8 Ribs | Tilt engaged by rotating any rib clockwise | Ideal shade coverage: up to 54"" tables | Pole Diameter 1.5""",537TK00,90-XX,P-RIB537TK,BP537TK,BH537TK,P-HUB537TK,P-FINIAL537TK,,P-CRANKHANDLE,Teak,1
Teak,587,587tk 11' Crank Lift,https://www.galtechcorp.com/587.htm,"Crank Lift (stainless steel cable) | Solid Zinc Crank Housing | Threaded Coupling | Heavy Duty Ribs | To lower umbrella, engage release button on crank housing | Ideal shade coverage: up to 72"" tables | Pole Diameter 1.625""",587TK00,11-XX,P-RIB587TK,BP587TK,BH587TK,P-HUB587TK,P-FINIAL587TK,,P-CRANKHANDLE,Teak,1
Bases,europeanbases,European Bases,https://www.galtechcorp.com/europeanbases.htm,Cast Iron | 40 lbs or 75 lbs | Anti rust primer | Long and short tubes provided | Protective rubber feet,,,,,,,,,,Antique Bronze | Black,2
Bases,heavy-weight-bases,Heavy Weight Bases,https://www.galtechcorp.com/heavy-weight-bases.htm,"120 or 170 lbs | Protective rubber feet | Stainless Steel Shell | Will hold up to 1.75"" diameter pole | Must ship via LTL truck | 24"" base tube available for commercial use",,,,,,,,,,Black | Silver,2
Bases,steel-plate-bases,Steel Plate Bases,https://www.galtechcorp.com/steel-plate-bases.htm,"40, 60 or 85 lbs | 40 lb is designed for 772 half wall umbrella | Protective rubber feet | New Stainless Steel Shell (on all except wheel base) | 24"" base tube available for commercial use",,,,,,,,,,Black | Silver,2
Bases,wheels-bases,Wheels Bases,https://www.galtechcorp.com/wheels-bases.htm,"95 lbs | Anti rust primer | Two wheels for mobility | Stainless foot plate to assist in moving base | Protective rubber feet | 24"" base tube available for commercial use",,,,,,,,,,Black | Silver,2
