category,sku,product_name,description,features,specifications,msrp,sale_price,note
Replacement Frames - Wood,221-wood,221 7.5' Replacement Frame - Dark Wood,Replacement wood frame for Galtech 221 7.5' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 7.5' | Finish: Dark Wood,340,255,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,131-wood,131 9' Replacement Frame - Light Wood,Replacement wood frame for Galtech 131 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Light Wood,350,263,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,132-wood,132 9' Replacement Frame - Light Wood,Replacement wood frame for Galtech 132 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Light Wood,400,300,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,232-wood,232 9' Replacement Frame - Dark Wood,Replacement wood frame for Galtech 232 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Dark Wood,400,300,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,136-wood,136 9' Replacement Frame - Light Wood,Replacement wood frame for Galtech 136 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Light Wood,400,300,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,183-wood,183 11' Replacement Frame - Light Wood,Replacement wood frame for Galtech 183 11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 11' | Finish: Light Wood,650,488,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,531-teak,531 9' Replacement Frame - Teak Wood,Replacement wood frame for Galtech 531 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Teak Wood,800,600,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,532-teak,532 9' Replacement Frame - Teak Wood,Replacement wood frame for Galtech 532 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Teak Wood,900,675,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,537-teak,537 9' Replacement Frame - Teak Wood,Replacement wood frame for Galtech 537 9' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 9' | Finish: Teak Wood,900,675,"Frame only, fabric cover is NOT included"
Replacement Frames - Wood,587-teak,587 11' Replacement Frame - Teak Wood,Replacement wood frame for Galtech 587 11' umbrella.,Direct replacement frame | Maintains original umbrella function | Compatible with existing covers,Size: 11' | Finish: Teak Wood,1200,900,"Frame only, fabric cover is NOT included"
Replacement Parts,P-RIB,Replacement Rib Assembly,Replacement rib assembly for Galtech market umbrellas,Replacement rib assembly for Galtech market umbrellas,,60,45,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,BP,Replacement Bottom Pole,Replacement bottom pole section for Galtech market umbrellas,Replacement bottom pole section for Galtech market umbrellas,,60,45,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,BH,Replacement Bar Height Pole,Replacement bar height pole section for Galtech market umbrellas,Replacement bar height pole section for Galtech market umbrellas,,70,53,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,P-HUB,Replacement Runner Hub / Top Hub,Replacement runner hub or top hub for Galtech market umbrellas,Replacement runner hub or top hub for Galtech market umbrellas,,55,42,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,P-FINIAL,Replacement Finial,Replacement finial for Galtech market umbrellas,Replacement finial for Galtech market umbrellas,,40,30,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,P-PULLEYS,Replacement 2-Pulley Kit,Replacement 2-pulley kit for Galtech market umbrellas,Replacement 2-pulley kit for Galtech market umbrellas,,45,34,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,P-PIN,Replacement Pin & Chain Assembly,Replacement pin and chain assembly for Galtech market umbrellas,Replacement pin and chain assembly for Galtech market umbrellas,,30,23,"Replacement part only, umbrella frame and fabric cover is NOT included"
Replacement Parts,TFORMER,Transformer for Series 936 / 986,Replacement transformer for Galtech LED lighted umbrella series 936 and 986,Replacement transformer for Galtech LED lighted umbrella series 936 and 986,,70,53,"Replacement part only, umbrella frame and fabric cover is NOT included"
