Collection,Category,Material,Product Name,Product SKU(s),Seating Type,Height,Width,Depth,Length,Seat Height,Arm Height,Weight,Description,Product Image URL,Product URL
Allure,Seating,Aluminum,Armless Adjustable Chaise (Stackable),11310; 11310-2,,"35""","28""",,"77""","16""",,27,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/2049/images/11310.jpg,https://www.homecrest.com/Seating/allure/armless-adjustable-chaise-stackable
Allure,Seating,Aluminum,Armless Adjustable Chaise (with Wheels),11300; 11300-2,,"35""","28""",,"77""","16""",,21,"The clean lines of the Allure collection, met with the strength and durability of powder-coated aluminum, provide premium comfort. Allure features a field-replaceable double layer sling with no welting and carries an unprecedented sling warranty. The quick-drying dining, balcony, and bar units are available with or without arms. This collection is well suited for homeowners with a discerning eye for design, as well as poolside, rooftop, café and bar environments, and more.",https://www.homecrest.com/data/products/5122/images/11300.jpg,https://www.homecrest.com/Seating/allure/armless-adjustable-chaise-with-wheels
Allure,Seating,Aluminum,Wind Kit Set,11370WS,,,,,,,,0,"Need additional weight for windy conditions? Allure’s weight set, consisting of a pair of zinc-plated steel bars (10370WS), adds an additional 5.66 lbs, and easily attaches to the chair’s frame. Note: The Wind Kit set is not available on the chaises. When ordering a sofa, order three sets.",https://www.homecrest.com/data/products/2513/images/11370WS.jpg,https://www.homecrest.com/Seating/allure/wind-kit-set
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Dining Chair,1135M,,"34""","20""","21""",,"18""",,0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2067/images/1135M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-dining-chair
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Dining Chair (Stackable),1235M; 1235M-2,,"34""","21.5""","21""",,"18""",,0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2068/images/1235M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-dining-chair-stackable
Allure Metal,Seating,Expanded Mesh | Aluminum,Dining Chair,1137M,,"34""","22.5""","21""",,"18""","24.5""",0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2069/images/1137M.jpg,https://www.homecrest.com/Seating/allure-mesh/dining-chair
Allure Metal,Seating,Expanded Mesh | Aluminum,Dining Chair (Stackable),1237M; 1237M-2,,"34""","24.5""","21""",,"18""","24.5""",0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2070/images/1237M.jpg,https://www.homecrest.com/Seating/allure-mesh/dining-chair-stackable
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Balcony Stool,1155M,,"40""","20""","21""",,"24""",,0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2071/images/1155M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-balcony-stool
Allure Metal,Seating,Expanded Mesh | Aluminum,Balcony Stool,1158M,,"40""","24.5""","21""",,"24""","30.5""",0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2072/images/1158M.jpg,https://www.homecrest.com/Seating/allure-mesh/balcony-stool
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Bar Stool,1145M,,"43.5""","20""","21""",,"29""",,0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2073/images/1145M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-bar-stool
Allure Metal,Seating,Expanded Mesh | Aluminum,Bar Stool,1148M,,"43.5""","24.5""","21""",,"29""","35.5""",0,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2074/images/1148M.jpg,https://www.homecrest.com/Seating/allure-mesh/bar-stool
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Adjustable Chaise (with Wheels) (Stackable),1130M; 1130M-2,,"35""","28""","77""",,"16""",,34,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2076/images/1130M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-adjustable-chaise-with-wheels-stackable
Allure Metal,Seating,Expanded Mesh | Aluminum,Armless Adjustable Chaise (Stackable),1131M; 1131M-2,,"35""","28""","77""",,"16""",,28,"Homecrest’s Allure mesh line is durable and functional. Ideal for patio or poolside, this collection is built for superior weather resistance in all climates, from coastal to arid and anywhere in between. With several options for finishes, this sleek collection will transform commercial and residential locations. Allure mesh is well suited for homeowners with a discerning eye for design, as well as applications that have a high level of use, such as public spaces, dining locations, and poolside environments.",https://www.homecrest.com/data/products/2075/images/1131M.jpg,https://www.homecrest.com/Seating/allure-mesh/armless-adjustable-chaise-stackable
Allure Metal,Seating,Expanded Mesh | Aluminum,Wind Kit Set,11370WS,,,,,,,,0,"Need additional weight for windy conditions? Allure’s weight set, consisting of a pair of zinc-plated steel bars (11370WS), adds an additional 5.66 lbs, and easily attaches to the chair’s frame. Note: The Wind Kit Set is not available on the chaises.",https://www.homecrest.com/data/products/5262/images/11370WS.jpg,https://www.homecrest.com/Seating/allure-mesh/wind-kit-set
Anthem Cushion,Seating,Aluminum,Chat Chair,7237A-DC; 7237A-UC,,"35""","28.5""","32""",,"18""","23""",0,"Homecrest's Anthem cushion collection showcases bent aluminum extrusions and minimal welded joints, offering both aesthetic appeal and robust durability. The design features gentle curves and cushions with DreamCore technology, reflecting Homecrest's heritage of metal bending and uniquely comfortable seating. Anthem exemplifies the American-made craftsmanship for which our company is renowned.",https://www.homecrest.com/data/products/5136/images/7237A.jpg,https://www.homecrest.com/Seating/anthem-cushion/chat-chair
Anthem Cushion,Seating,Aluminum,Swivel Rocker Chat Chair,7290A-DC; 7290A-UC,,"35""","28.5""","32""",,"18""","23""",0,"Homecrest's Anthem cushion collection showcases bent aluminum extrusions and minimal welded joints, offering both aesthetic appeal and robust durability. The design features gentle curves and cushions with DreamCore technology, reflecting Homecrest's heritage of metal bending and uniquely comfortable seating. Anthem exemplifies the American-made craftsmanship for which our company is renowned.",https://www.homecrest.com/data/products/5137/images/7290A.jpg,https://www.homecrest.com/Seating/anthem-cushion/swivel-rocker-chat-chair
Anthem Cushion,Seating,Aluminum,Loveseat,7242A-DC; 7242A-UC,,"35""","52.5""","32""",,"18""","23""",0,"Homecrest's Anthem cushion collection showcases bent aluminum extrusions and minimal welded joints, offering both aesthetic appeal and robust durability. The design features gentle curves and cushions with DreamCore technology, reflecting Homecrest's heritage of metal bending and uniquely comfortable seating. Anthem exemplifies the American-made craftsmanship for which our company is renowned.",https://www.homecrest.com/data/products/5138/images/7242A.jpg,https://www.homecrest.com/Seating/anthem-cushion/loveseat
Anthem Cushion,Seating,Aluminum,Sofa,7243A-DC; 7243A-UC,,"35""","76.5""","32""",,"18""","23""",0,"Homecrest's Anthem cushion collection showcases bent aluminum extrusions and minimal welded joints, offering both aesthetic appeal and robust durability. The design features gentle curves and cushions with DreamCore technology, reflecting Homecrest's heritage of metal bending and uniquely comfortable seating. Anthem exemplifies the American-made craftsmanship for which our company is renowned.",https://www.homecrest.com/data/products/5139/images/7243A.jpg,https://www.homecrest.com/Seating/anthem-cushion/sofa
Ava Cushion,Seating,HDPE,Chat Chair,2H37A-DC; 2H37A-UC,,"35""","28.25""","34""",,"18""","23.5""",0,"Our Ava collection seamlessly blends modern sophistication with the beauty of nature. Ava’s architectural A-frame profile boasts a rustic charm while offering the unmatched durability of HDPE. Visually resembling natural wood, this sturdy HDPE frame will stand the test of time against the elements without compromising on style. Sumptuous cushions featuring DreamCore technology beckon you to unwind in your outdoor sanctuary.",https://www.homecrest.com/data/products/5228/images/2H37A.jpg,https://www.homecrest.com/Seating/ava-cushion/chat-chair
Ava Cushion,Seating,HDPE,Loveseat,2H42A-DC; 2H42A-UC,,"35""","52.25""","34""",,"18""","23.5""",0,"Our Ava collection seamlessly blends modern sophistication with the beauty of nature. Ava’s architectural A-frame profile boasts a rustic charm while offering the unmatched durability of HDPE. Visually resembling natural wood, this sturdy HDPE frame will stand the test of time against the elements without compromising on style. Sumptuous cushions featuring DreamCore technology beckon you to unwind in your outdoor sanctuary.",https://www.homecrest.com/data/products/5229/images/2H42A.jpg,https://www.homecrest.com/Seating/ava-cushion/loveseat
Ava Cushion,Seating,HDPE,Sofa,2H43A-DC; 2H43A-UC,,"35""","76.25""","34""",,"18""","23.5""",0,"Our Ava collection seamlessly blends modern sophistication with the beauty of nature. Ava’s architectural A-frame profile boasts a rustic charm while offering the unmatched durability of HDPE. Visually resembling natural wood, this sturdy HDPE frame will stand the test of time against the elements without compromising on style. Sumptuous cushions featuring DreamCore technology beckon you to unwind in your outdoor sanctuary.",https://www.homecrest.com/data/products/5230/images/2H43A.jpg,https://www.homecrest.com/Seating/ava-cushion/sofa
Blair,Seating,Aluminum,Low Back Dining Chair,10680; 10690,,"37""","26.75""","28""",,"19.5""","25""",0,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/3568/images/10680.jpg,https://www.homecrest.com/Seating/blair/low-back-dining-chair
Blair,Seating,Aluminum,Low Back Swivel Rocker,10880; 10890,,"37""","26.75""","28""",,"19.5""","25""",0,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/5271/images/10880.jpg,https://www.homecrest.com/Seating/blair/low-back-swivel-rocker
Blair,Seating,Aluminum,High Back Dining Chair,10180; 10190,,"45.5""","26.75""","28""",,"19.5""","25""",0,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/5272/images/10180.jpg,https://www.homecrest.com/Seating/blair/high-back-dining-chair
Blair,Seating,Aluminum,High Back Swivel Rocker,10980; 10990,,"45.5""","26.75""","28""",,"19.5""","25""",0,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/5273/images/10980.jpg,https://www.homecrest.com/Seating/blair/high-back-swivel-rocker
Blair,Seating,Aluminum,Armless Adjustable Chaise,10301; 10201; 10200,,"43.5""","24""",,"82.5""","16""",,24.6,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/1989/images/10301.jpg,https://www.homecrest.com/Seating/blair/armless-adjustable-chaise
Blair,Seating,Aluminum,Adjustable Chaise,10302; 10202,,"43.5""","27""",,"82.5""","16""","23.25""",24.6,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/2004/images/10302.jpg,https://www.homecrest.com/Seating/blair/adjustable-chaise
Blair,Seating,Aluminum,Ottoman,99120; 99130,,"16.5""","20.5""","20""",,"16.5""",,7,"Blair sling offers clean lines and an open design, making it endlessly adaptable across all environments and design preferences. Its gentle minimalism allows it to stay current and fresh, even as trends evolve over time. Solid aluminum and Homecrest's signature comfort make Blair a collection that is equally at home in commercial spaces and residential environments. When looking to furnish multiple areas at work or at play, complement Blair sling with air collections. Blair comes in two primary seating styles: dining and chaise. This makes Blair a prime option for homeowners who value versatility, as well as for fine dining and lounge environments.",https://www.homecrest.com/data/products/5277/images/99120.jpg,https://www.homecrest.com/Seating/blair/ottoman
Blair,Seating,Aluminum,Dining Chair Wind Kit,KIT91,,,,,,,,10,"Need additional weight for windy conditions? Homecrest's patent-pending Wind Kit (KIT91), consists of zinc-plated steel parts, add an additional 10 lbs, and easily attaches to the chair’s frame. Available in all finishes.",https://www.homecrest.com/data/products/5274/images/KIT91.jpg,https://www.homecrest.com/Seating/blair/dining-chair-wind-kit
Blair,Seating,Aluminum,Swivel Rocker Wind Kit,KIT90,,,,,,,,10,"Need additional weight for windy conditions? Homecrest's patent-pending Wind Kit (KIT90), consists of zinc-plated steel parts, add an additional 10 lbs, and easily attaches to the chair’s frame. Available in all finishes.",https://www.homecrest.com/data/products/5275/images/KIT90.jpg,https://www.homecrest.com/Seating/blair/swivel-rocker-wind-kit
Blair Air,Seating,Aluminum,Armless Chat Chair,51AR352,,"36""","26.5""","33""",,"18""",,30,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1952/images/51AR352.jpg,https://www.homecrest.com/Seating/blair-air/armless-chat-chair
Blair Air,Seating,Aluminum,Chat Chair,10AR392,,"36""","34.5""","33""",,"18""","23""",38,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1953/images/10AR392.jpg,https://www.homecrest.com/Seating/blair-air/chat-chair
Blair Air,Seating,Aluminum,Swivel Chat Chair,10AR902,,"36""","34.5""","33""",,"18""","23""",49,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1954/images/10AR902.jpg,https://www.homecrest.com/Seating/blair-air/swivel-chat-chair
Blair Air,Seating,Aluminum,Left Arm Chat Chair,10AR392L,,"36""","30.5""","33""",,"18""","23""",35,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1955/images/10AR392L.jpg,https://www.homecrest.com/Seating/blair-air/left-arm-chat-chair
Blair Air,Seating,Aluminum,Right Arm Chat Chair,10AR392R,,"36""","30.5""","33""",,"18""","23""",35,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1956/images/10AR392R.jpg,https://www.homecrest.com/Seating/blair-air/right-arm-chat-chair
Blair Air,Seating,Aluminum,Armless Loveseat,51AR422N,,"36""","52.5""","33""",,"18""",,60,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1957/images/51AR422N.jpg,https://www.homecrest.com/Seating/blair-air/armless-loveseat
Blair Air,Seating,Aluminum,Loveseat,10AR422,,"36""","60.5""","33""",,"18""","23""",65,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1958/images/10AR422.jpg,https://www.homecrest.com/Seating/blair-air/loveseat
Blair Air,Seating,Aluminum,Left Arm Loveseat,10AR422L,,"36""","56.5""","33""",,"18""","23""",62,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1959/images/10AR422L.jpg,https://www.homecrest.com/Seating/blair-air/left-arm-loveseat
Blair Air,Seating,Aluminum,Right Arm Loveseat,10AR422R,,"36""","56.5""","33""",,"18""","23""",62,"The Blair air collection features the look and feel of a deep seating piece in a foam-free, cushionless construction. Luxurious Sensation sling fabric is used for the ultimate in low-maintenance comfort and also features benefits such as exceptional shape retention and surface memory. Blair air offers a versatile, stylish, and durable solution for your outdoor seating needs and coordinates with all Blair cushion sling pieces. Like Blair before it, Blair air’s light and fresh visual style lends itself to a wide variety of design aesthetics. But, because of its seating design, it performs especially well in climates with even the most intense rainfall.",https://www.homecrest.com/data/products/1960/images/10AR422R.jpg,https://www.homecrest.com/Seating/blair-air/right-arm-loveseat
