Product Category,Product Name,SKU,Features,Size,Weight (lbs),Cube,Case Pack,Notes
OUTDOOR RUG - GOLD,North Shore - Sky Blue,RG-097-365-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,North Shore - Sky Blue,RG-097-365-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Seaside Harbor - Blue,RG-253-099-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Seaside Harbor - Blue,RG-253-099-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,South Beach - Spectrum,RG-533-050-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,South Beach - Spectrum,RG-533-050-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Prism - Taupe,RG-252-560-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Prism - Taupe,RG-252-560-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Canyon - Taupe,RG-203-651-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Canyon - Taupe,RG-203-651-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Sand Dune - Textured Beige,RG-204-651-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,Sand Dune - Textured Beige,RG-204-651-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,North Shore - Pebble,RG-097-965-80,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',24,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - GOLD,North Shore - Pebble,RG-097-965-35,"100% UV stable polypropylene multi-ply cabled heat-set yarns. Luxurious feel. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",12,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Serenity Stripe - Linen (NEW),RS-511-061-80,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',19,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Serenity Stripe - Linen (NEW),RS-511-061-35,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",10,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Athens - Silver,RS-607-637-80,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',21,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Athens - Silver,RS-607-637-35,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",9,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Urban Hex - Black (NEW),RS-721-690-80,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",7'10" x 10',21,2,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
OUTDOOR RUG - SILVER,Urban Hex - Black (NEW),RS-721-690-35,"100% UV stable polypropylene all-weather construction. Stain and soil resistant. 1-year fade warranty. Made in Belgium. Easy to clean with mild soap.",5'3" x 7'4",9,0.93,,5'3"x7'4" Standard Parcel; 7'10"x10' Truck Only
PROTECTIVE COVER - DINING TABLE,30" Bistro Table & Chairs,PFC530,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/4 ties, elastic, spring cinch lock.",33" W x 60" D x 36" H,34,3.3,10,
PROTECTIVE COVER - DINING TABLE,36" Round/Square Bistro Table & Chairs,PFC536,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/4 ties, elastic, spring cinch lock.",70" Dia. x 36" H,38,3.3,8,
PROTECTIVE COVER - DINING TABLE,48" Round/Square Table & Chairs,PFC551,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/4 ties, elastic, spring cinch lock.",84" Dia. x 36" H,37,3.3,6,
PROTECTIVE COVER - DINING TABLE,54" Round/Square Table & Chairs,PFC571,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/6 ties, elastic, spring cinch lock.",92" Dia. x 36" H,28,3.3,4,
PROTECTIVE COVER - DINING TABLE,60" Round/Square Table & Chairs,PFC590,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/8 ties, elastic, spring cinch lock.",108" Dia. x 36" H,33,3.3,4,
PROTECTIVE COVER - DINING TABLE,Small Oval/Rectangle Table & Chairs,PFC592,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/8 ties, elastic, spring cinch lock.",72" W x 90" D x 36" H,37,3.3,6,
PROTECTIVE COVER - DINING TABLE,Medium Oval/Rectangle Table & Chairs,PFC594,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/8 ties, elastic, spring cinch lock.",80" W x 108" D x 36" H,31,3.3,4,
PROTECTIVE COVER - DINING TABLE,Large Oval/Rectangle Table & Chairs,PFC596,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/8 ties, elastic, spring cinch lock.",80" W x 132" D x 36" H,37,3.3,4,
PROTECTIVE COVER - DINING TABLE,X-Large Oval/Rectangle Table & Chairs,PFC598,"Durable coated polyester 300D gray fabric. Elastic & spring cinch lock. UPF 50+. Water resistant. Breathable. Includes storage bag. 1-year limited warranty. w/8 ties, elastic, spring cinch lock.",88" W x 156" D x 36" H,42,3.3,4,
PROTECTIVE COVER - MODULAR,Modular Right End (Left Facing),PFC401,Fits End Sectional. Elastic & spring cinch lock. Modular cover system compatible - can be zipped to adjacent covers. Style code: R.,32" W x 40" D x 32" H,37,3.3,18,
PROTECTIVE COVER - MODULAR,Modular Armless (Middle),PFC402,Fits Middle Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: M.,28" W x 40" D x 32" H,37,3.3,24,
PROTECTIVE COVER - MODULAR,Modular Left End (Right Facing),PFC403,Fits End Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: L.,32" W x 40" D x 32" H,37,3.3,18,
PROTECTIVE COVER - MODULAR,Modular Corner,PFC404,Fits Corner Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: C.,40" W x 40" D x 32" H,41,3.3,18,
PROTECTIVE COVER - MODULAR,Modular Extension,PFC405,Extends Sectionals. Elastic & spring cinch lock. Modular cover system compatible. Style code: E.,12" W x 40" D x 32" H,35,3.3,36,
PROTECTIVE COVER - MODULAR,Modular Wedge Right End (Left Facing),PFC406-R,Fits Wedge End Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: WR.,52" W x 40" D x 32" H (28" W - Front),38,3.3,16,
PROTECTIVE COVER - MODULAR,Modular Wedge Center,PFC406-C,Fits Wedge Corner Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: WC.,52" W x 40" D x 32" H (28" W - Front),36,3.3,18,
PROTECTIVE COVER - MODULAR,Modular Wedge Left End (Right Facing),PFC406-L,Fits Wedge End Sectional. Elastic & spring cinch lock. Modular cover system compatible. Style code: WL.,52" W x 40" D x 32" H (28" W - Front),37,3.3,16,
PROTECTIVE COVER - CHAIRS & CHAISES,Dining Chair,PFC115,Dining Chair cover. Elastic & spring cinch lock.,28" W x 33" D x 35" H,23,3.3,10,
PROTECTIVE COVER - CHAIRS & CHAISES,Counter Height Chair,PFC116,Counter height chair cover. Elastic & spring cinch lock.,28" W x 33" D x 43" H,39,3.3,16,
PROTECTIVE COVER - CHAIRS & CHAISES,Bar Height Chair,PFC117,Bar height chair cover. Elastic & spring cinch lock.,28" W x 33" D x 49" H,25,3.3,10,
PROTECTIVE COVER - CHAIRS & CHAISES,Small Chaise,PFC119S,"Small chaise cover. w/4 ties, elastic, spring cinch lock.","32" W x 80" D x 42" H (20"H - Front)",25,3.3,6,
PROTECTIVE COVER - CHAIRS & CHAISES,Large Chaise,PFC119L,"Large chaise cover. w/4 ties, elastic, spring cinch lock.","36" W x 86" D x 42" H (20"H - Front)",28,3.3,6,
PROTECTIVE COVER - UMBRELLA,Umbrella (6' to 8.5'),PFC901,Fits 6' to 8.5' market umbrella styles. Elastic & spring cinch lock.,Fits (6' / 7.5' / 8.5') x 62" H,45,3.3,36,
PROTECTIVE COVER - UMBRELLA,Large Umbrella (9' to 11'),PFC902,Fits 9' to 11' market umbrella styles. Elastic & spring cinch lock.,Fits (9' / 10' / 11') x 75" H,59,3.3,36,
PROTECTIVE COVER - UMBRELLA,X-Large Umbrella (Rectangle up to 10'x13'),PFC910,Fits rectangle umbrella styles up to 10'x13'. Elastic & spring cinch lock.,Fits (8'x10' / 8'x11' / 13') x 110" H,64,3.3,24,
PROTECTIVE COVER - UMBRELLA,Cantilever (8' to 10'),PFC912,Fits 8' to 10' cantilever umbrella styles. Elastic & spring cinch lock.,Fits (8' / 9' / 10') x 90" H,54,3.3,24,
PROTECTIVE COVER - UMBRELLA,Large Cantilever (10' to 11.5'),PFC955,Fits AG25T cantilever styles. Elastic & spring cinch lock.,Fits (10' / 11.5') x 102" H,54,3.3,24,
PROTECTIVE COVER - UMBRELLA,X-Large Cantilever (AKZP styles),PFC920,Fits AKZP cantilever umbrella styles. Elastic & spring cinch lock.,Fits (10' / 10'x13' / 11' / 13') x 108" H,49,3.3,18,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Round 36"-42",PFC805,"Fits 36"" to 42"" round. Elastic & spring cinch lock.",43" Dia. x 18" H,20,3.3,10,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Round 48"-54",PFC810,"Fits 48"" to 54"" round. Elastic & spring cinch lock.",55" Dia. x 18" H,21,3.3,8,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Square 19"-26",PFC815,"Fits 19"" to 26"" square. Elastic & spring cinch lock.",27" W x 27" D x 18" H,21,3.3,14,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Square 42"-48",PFC820,"Fits 42"" to 48"" square. Elastic & spring cinch lock.",49" W x 49" D x 18" H,22,3.3,8,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Small Rectangle,PFC825,Small rectangle fire pit/table/ottoman cover. Elastic & spring cinch lock.,36" W x 30" D x 18" H,32,3.3,18,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Medium Rectangle,PFC830,Medium rectangle fire pit/table/ottoman cover. Elastic & spring cinch lock.,45" W x 30" D x 15" H,29,3.3,16,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - Large Rectangle,PFC835,Large rectangle fire pit/table/ottoman cover. Elastic & spring cinch lock.,51" W x 31" D x 12" H,33,3.3,18,
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Fire Pit/Table/Ottoman - X-Large Rectangle,PFC840,X-large rectangle fire pit/table/ottoman cover. Elastic & spring cinch lock.,59" W x 39" D x 12" H,31,3.3,14,
PROTECTIVE COVER - DEEP SEATING,Lounge Chair,PFC711,Lounge chair cover. Elastic & spring cinch lock.,33" W x 35" D x 35" H,34,3.3,14,
PROTECTIVE COVER - DEEP SEATING,Large Lounge Chair,PFC712,Large lounge chair cover. Elastic & spring cinch lock.,36" W x 40" D x 35" H,28,3.3,10,
PROTECTIVE COVER - DEEP SEATING,X-Large Lounge Chair,PFC741,X-large lounge chair cover. Elastic & spring cinch lock.,43" W x 42" D x 43" H,34,3.3,10,
PROTECTIVE COVER - DEEP SEATING,Loveseat,PFC720,Loveseat cover. Elastic & spring cinch lock.,50" W x 35" D x 35" H,33,3.3,10,
PROTECTIVE COVER - DEEP SEATING,Large Loveseat,PFC722,Large loveseat cover. Elastic & spring cinch lock.,60" W x 40" D x 35" H,36,3.3,10,
PROTECTIVE COVER - DEEP SEATING,X-Large Loveseat,PFC742,X-large loveseat cover. Elastic & spring cinch lock.,69" W x 42" D x 43" H,27,3.3,6,
PROTECTIVE COVER - DEEP SEATING,Sofa,PFC723,Sofa cover. Elastic & spring cinch lock.,80" W x 35" D x 35" H,41,3.3,10,
PROTECTIVE COVER - DEEP SEATING,Large Sofa,PFC733,Large sofa cover. Elastic & spring cinch lock.,85" W x 40" D x 35" H,46,3.3,10,
PROTECTIVE COVER - DEEP SEATING,X-Large Sofa,PFC743,X-large sofa cover. Elastic & spring cinch lock.,92" W x 42" D x 43" H,33,3.3,6,
PROTECTIVE COVER - DEEP SEATING,Curved Sofa,PFC753,Curved sofa cover. Elastic & spring cinch lock.,102" W x 46" D x 35" H,30,3.3,6,
