collection,name,sku,material,description,specifications,datasheet_url,product_url
Classico,Classico Dining Side Chair,951-S,Wrought Iron,"The O.W. Lee Classico Dining Side Chair reflects traditional European elegance with a refined, timeless silhouette. Ornate detailing, including embossed flat bar and rivet accents, gives this outdoor dining side chair a classic presence well suited for formal and casual outdoor dining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 19 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_951-S.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-dining-side-chair
Classico,Classico Dining Arm Chair,953-AW,Wrought Iron,"The O.W. Lee Classico Dining Arm Chair brings graceful proportions and decorative craftsmanship to outdoor dining. Featuring classic lines and detailed metalwork, this outdoor dining arm chair offers comfortable support while reinforcing the collection’s traditional aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 27 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-AW-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-dining-arm-chair
Classico,Classico Swivel Rocker Dining Arm Chair,953-SRW,Wrought Iron,"The O.W. Lee Classico Swivel Rocker Dining Arm Chair combines Old World design with relaxed functionality. Smooth swivel and gentle rocking motion enhance comfort, while embossed detailing and rivets lend timeless character to this outdoor swivel dining chair. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 35 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SRW-Swivel-Rocker-Dining.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-swivel-rocker-dining-arm-chair
Classico,Club Dining Swivel Rocker Arm Chair,942-SRW,Wrought Iron,"Classico Swivel Rocker Club Dining Arm Chair The O.W. Lee Classico Swivel Rocker Club Dining Arm Chair elevates dining comfort with a more generously cushioned seat and back. Designed with classic European styling and smooth swivel rocker motion, this club-style outdoor dining chair blends refined elegance with lounge-like comfort at the table. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 49 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SRW-Swivel-Rocker-Dining.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-club-dining-swivel-rocker-arm-chair
Classico,Classico Swivel Counter Stool With Arms,953-SCSW,Wrought Iron,"The O.W. Lee Classico Swivel Counter Stool with Arms pairs traditional detailing with added comfort and support. Featuring elegant armrests and smooth swivel motion, this counter-height outdoor stool delivers both sophistication and ease of use. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 39 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SCSW-Swivel-Counter-Stool-with-Arms.pdf,https://www.owlee.com/collections/wrought-iron-steel/classico-swivel-counter-stool
Classico,Classico Armless Swivel Bar Stool,951-SBS,Wrought Iron,"The O.W. Lee Classico Armless Swivel Bar Stool brings classic European influence to bar-height outdoor spaces. Its clean silhouette, decorative accents, and swivel functionality create a refined outdoor bar stool ideal for entertaining. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",,,https://www.owlee.com/collections/wrought-iron-steel/classico-armless-swivel-bar-stool
Classico,Swivel Bar Stool With Arms,953-SBSW,Wrought Iron,"The O.W. Lee Classico Swivel Bar Stool with Arms offers elevated comfort with timeless appeal. Ornate accents, supportive arms, and swivel functionality make this outdoor bar-height stool a classic choice for refined outdoor entertaining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 41 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SBSW-Swivel-Bar-Stool-with-Arms.pdf,https://www.owlee.com/collections/wrought-iron-steel/swivel-bar-stool-with-arms-wrought-iron-steel-classico-w
Classico,Classico 01 Side Table Base,9-ST01,Wrought Iron,"If you’re looking for an outdoor side table that’s as beautiful as it is dependable, the Classico Iron Side Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 24"" Round (Porcelain, Dekton, or Mesh) - 24"" Square (Porcelain or Dekton) - 30"" Round (Porcelain or Mesh)",Packaged Weight: 22 lbs,,https://www.owlee.com/collections/classico-iron-table-bases/classico-side-table-base
Classico,Classico 05 Occasional Table Base,9-OT05,Wrought Iron,"If you’re looking for an outdoor occasional / coffee table that’s as beautiful as it is dependable, the Classico Iron Occasional Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 28x50"" (Porcelain or Mesh) - 31x56"" (Dekton) - 36x58"" (Porcelain or Mesh)",Packaged Weight: 44 lbs,,https://www.owlee.com/collections/classico-iron-table-bases/classico-occasional-table-base
Classico,Classico Dining 07 Table Base,9-DT07,Wrought Iron,"If you’re looking for a table base that’s as beautiful as it is dependable, the Classico Iron Dining Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 42x72"" (Porcelain) - 42x84"" (Porcelain, Dekton, or Mesh)",Packaged Weight: 73 lbs,,https://www.owlee.com/collections/classico-iron-table-bases/classico-dining-table-base
Classico,Classico 03 Dining Table Base,9-DT03,Wrought Iron,"If you’re looking for a table base that’s as beautiful as it is dependable, the Classico Iron Dining Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)",Packaged Weight: 35 lbs,,https://www.owlee.com/collections/classico-iron-table-bases/dining-table-base-wrought-iron-steel-classico-w-2
Monterra,Monterra Lounge Chair,421-CC,Wrought Iron,"The O.W. Lee Monterra Lounge Chair showcases the collection’s rustic Southwestern and Mediterranean influences with handcrafted detailing and rich textural appeal. Its durable wrought iron frame and plush cushions create a timeless outdoor lounge chair ideal for patios and courtyard seating areas. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 80 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_421-CC-Lounge-Chair.pdf,https://www.owlee.com/collections/wrought-iron-steel/lounge-chair-monterra
Monterra,Monterra Spring Base Lounge Chair,421-SB,Wrought Iron,"The O.W. Lee Monterra Spring Base Lounge Chair combines Old World craftsmanship with responsive seating. Its handcrafted wrought iron frame and spring-supported seat provide both comfort and a subtle, refined bounce, making this outdoor lounge chair a sophisticated choice for relaxed outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 92 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_421-SB-Spring-Base-Lounge-Chair.pdf,https://www.owlee.com/collections/monterra/spring-base-lounge-chair-monterra
Monterra,Monterra Swivel Rocker Lounge Chair,421-SR,Wrought Iron,"The O.W. Lee Monterra Swivel Rocker Lounge Chair brings Mediterranean elegance to outdoor entertaining with added motion. Featuring a handcrafted wrought iron frame with smooth swivel and gentle rocking action, this outdoor swivel lounge chair delivers comfort, durability, and timeless rustic charm. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 94 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_421-SR-Swivel-Rocker-Lounge-Chair.pdf,https://www.owlee.com/collections/monterra/swivel-rocker-lounge-chair-monterra
Monterra,Monterra Love Seat,427-2S,Wrought Iron,"The O.W. Lee Monterra Love Seat reflects the warm, inviting aesthetic of Southwestern and Mediterranean design. Its decorative wrought iron frame and comfortable cushions make this outdoor love seat a versatile, elegant addition to a variety of outdoor settings. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 120 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_427-2S-Love-Seat.pdf,https://www.owlee.com/collections/monterra/love-seat-monterra
Monterra,Monterra Crescent Love Seat,426-2S,Wrought Iron,"The O.W. Lee Monterra Crescent Love Seat highlights the collection’s signature curves and Old World detailing. Its handcrafted wrought iron frame and plush cushions create a welcoming outdoor love seat that encourages intimate conversation in patios and smaller gathering spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 145 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_426-2S-Crescent-Love-Seat.pdf,https://www.owlee.com/collections/monterra/crescent-love-seat-monterra
Monterra,Monterra Sofa,427-3S,Wrought Iron,"The O.W. Lee Monterra Sofa serves as a striking centerpiece with artisanal character. Built from wrought iron with handcrafted detailing and deep cushions, this outdoor sofa combines Old World craftsmanship with lasting comfort and rustic sophistication. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 182 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_427-3S-Sofa.pdf,https://www.owlee.com/collections/monterra/sofa-monterra
Monterra,Monterra Left Sectional,425-L,Wrought Iron,"The O.W. Lee Monterra Sectional Collection allows for flexible, modular arrangements with Old World craftsmanship at its core. Handcrafted wrought iron frames and plush cushions create outdoor sectional pieces that provide comfort, durability, and the textured warmth of Mediterranean and Southwestern design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 142 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_425-L-Left-Sectional.pdf,https://www.owlee.com/collections/monterra/left-sectional-monterra
Monterra,Monterra Center Sectional,425-C,Wrought Iron,"The O.W. Lee Monterra Sectional Collection allows for flexible, modular arrangements with Old World craftsmanship at its core. Handcrafted wrought iron frames and plush cushions create outdoor sectional pieces that provide comfort, durability, and the textured warmth of Mediterranean and Southwestern design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 136 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_425-C-Center-Sectional.pdf,https://www.owlee.com/collections/monterra/center-sectional-monterra
Monterra,Monterra Right Sectional,425-R,Wrought Iron,"The O.W. Lee Monterra Sectional Collection allows for flexible, modular arrangements with Old World craftsmanship at its core. Handcrafted wrought iron frames and plush cushions create outdoor sectional pieces that provide comfort, durability, and the textured warmth of Mediterranean and Southwestern design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 141 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_425-R-Right-Sectional.pdf,https://www.owlee.com/collections/monterra/right-sectional-monterra
Monterra,Monterra Ottoman,419-O,Wrought Iron,"The O.W. Lee Monterra Ottoman complements seating in the collection with functional, stylish design. Featuring a sturdy wrought iron frame and tailored cushion, this outdoor ottoman can serve as a footrest or extra seating, enhancing patios or courtyards with Mediterranean-inspired charm. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 39 lbs,https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_419-O-Ottoman.pdf,https://www.owlee.com/collections/monterra/ottoman-monterra
