sku,product_name,description
UM800LX,9’ STARLUX COLLAR TILT,"Light strips built into (8) ribs for an elegant and modern look; External rechargeable battery pack with charge level indicator; Up to 8 hours of battery life and 20,000 lifetime hours; Built-in USB charging port (5V output); Crank lift system with easy to twist collar tilt function; Maximum tilt 30°; Color temperature: 4000-4500K; Powder coated aluminum; Textured two-piece ribbed pole"
UM801,11’ COLLAR TILT,Powder coated aluminum; Easy to twist collar tilt function; Maximum tilt 30°; Textured two-piece ribbed pole; Crank lift system; Residential and commercial use
UM800,9’ COLLAR TILT,Powder coated aluminum; Easy to twist collar tilt function; Maximum tilt 30°; Textured two-piece ribbed pole; Crank lift system; Residential and commercial use
UM841,11’ FLEX,Commercial grade ﬁberglass ribs; Powder coated aluminum pole; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system; Residential and commercial use
UM840,9’ FLEX,Commercial grade ﬁberglass ribs; Powder coated aluminum pole; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system; Residential and commercial use
UM847SQ,7.5’ FLEX,Commercial grade ﬁberglass ribs; Powder coated aluminum pole; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system
UM812,11’ AUTO TILT,Powder coated aluminum; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system
UM810,9’ AUTO TILT,Powder coated aluminum; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system
UM8810RT,8’x10’ AUTO TILT,Powder coated aluminum; Automatic crank to tilt canopy; Maximum tilt 30°; 100% Kevlar mesh lift cord for added strength and durability; Crank lift system
UM970,9’ GLIDE TILT,Powder coated aluminum; Revolutionary slide to tilt canopy function; Maximum tilt 22°; Crank lift system
UM977,7.5’ GLIDE TILT,Powder coated aluminum; Revolutionary slide to tilt canopy function; Maximum tilt 22°; Crank lift system; Great for small areas
UM920,9’ PUSH BUTTON TILT,"Powder coated aluminum; Manual push button, two-way tilt canopy; Maximum tilt 30°; Crank lift system"
UM907,7.5’ PUSH BUTTON TILT,"Powder coated aluminum; Manual push button, two-way tilt canopy; Maximum tilt 30°; Crank lift system; Great for small areas"
UM809-1H,9’ QUAD PULLEY LIFT,Quad pulley lift system; Aluminum alloy locking pin; FSC hardwood
BA150,Commercial,Cast aluminum shell with cast iron core; Dual-purpose stem with knobs
BSK120,Steel (with casters),Steel base plate; Accommodates 2” pole diameter; Cast aluminum dual-purpose stem with
BTT100,Athens,Two-tone cast aluminum base with wheels; Stem with self-adjusting clamp
BRW100,Aurora,Cast aluminum base with wheels; Stem with self-adjusting clamp
BKM100,Monaco Round,Cast aluminum shell with cast iron core; Dual-purpose stem with knobs; (2) Wheels and handle
BKMSQ100,Monaco Square,Cast aluminum shell with cast iron core; Dual-purpose stem with knobs; (2) Wheels and handle
BG50,Garden,Cast aluminum shell with cast iron core; Dual-purpose stem with knobs
BA50,Art Deco,Cast aluminum shell with cast iron core; Dual-purpose stem with knobs
BW50,Classic,Cast iron; Dual-purpose stem with knobs
BS359,Steel,Steel plate; Cast aluminum dual-purpose stem with knobs
BW30,Add-On Weight,Patented cast iron 30 lb. add-on weight; compatible with select 50 lb. and 100 lb. bases; recommended for free-standing umbrella applications
BS709-2.0,Steel,Steel plate; Accommodates 2” pole diameter; Cast aluminum dual-purpose stem with knobs; Includes reducer to accommodate 1.5” pole diameter
ZBWH-SM,Add-On Wheels,Set of 4 locking wheels
BASE-13R-_,AKZ13 Rolling Base,"Steel base frame with resin lid; includes foot pedal, (4) wheels, and (4) add-on weights to be filled with 230 lbs. of sand and water (sand not included)"
ZB115,Z-Plate,Steel base plate
BASE-13-_,AKZ13 Base,Steel base frame with resin lid; includes four (4) add-on weights; holds up to 400 lbs. of sand (sand not included)
BASE-AKZ-_,AKZ Base,Resin base shell and lid; holds up to 200 lbs. of sand (sand not included)
