sku,collection,style,name,description
161569WS,Corsica,WOVEN,SWIVEL ROCKER,"The Corsica Woven Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design provides head support, while the mitered joint of the seat and back delivers sink-in comfort. Sit back and relax in the Corsica Woven Swivel Rocker."
161570WS,Corsica,WOVEN,HIGH BACK SWIVEL ROCKER,"The Corsica Woven High Back Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design provides head support, while the mitered joint of the seat and back delivers sink-in comfort. Sit back and relax in the Corsica Woven High Back Swivel Rocker."
161525NTWS,Corsica,WOVEN,SWIVEL ACTION LOUNGER,The Corsica Woven Swivel Action Lounger is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The woven bucket is made with Tropitone's Bison Weave and is created with back and seat pieces that meet in a mitered joint and draws one into the chair. Sit back and relax in the Corsica Woven Swivel Action Lounger.
161517WS,Corsica,WOVEN,OTTOMAN,"The Corsica Woven Ottoman is crafted from durable powder-coated aluminum and features flowing curves. With the beautiful Bison Weave, the Corsica Woven Ottoman offers a simple and refined foot rest."
161527WS-28,Corsica,WOVEN,SWIVEL BAR STOOL,The Corsica Woven Bar Stool is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The Bison Weave creates the woven bucket that delivers comfort and support. The Corsica Woven Bar Stool creates a simple and refined bar setting.
161137,Corsica,SLING,DINING CHAIR,"The Corsica Sling Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support. With fabric slung taut across the seat and back frame, the Corsica Sling Dining Chair creates a simple and refined culinary setting."
161101,Corsica,SLING,HIGH BACK DINING CHAIR,"The Corsica Sling High Back Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support. With fabric slung taut across the seat and back, the Corsica Sling High Back Dining Chair creates a simple and refined culinary setting."
161169,Corsica,SLING,SWIVEL ROCKER,"The Corsica Sling Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support, while the taut fabric provide seat and back support. Sit back and relax in the Corsica Sling Swivel Rocker."
161170,Corsica,SLING,HIGH BACK SWIVEL ROCKER,"The Corsica Sling High Back Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support, while the taut fabric provide seat and back support. Sit back and relax in the Corsica Sling High Back Swivel Rocker."
161125NT,Corsica,SLING,SWIVEL ACTION LOUNGER,"The Corsica Sling Swivel Action Lounger is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support, while the taut fabric provide seat and back support. Sit back and relax in the Corsica Sling Swivel Action Lounger."
161117,Corsica,SLING,OTTOMAN,"The Corsica Sling Ottoman is crafted from durable powder-coated aluminum and features flowing curves. With fabric slung taut, the Corsica Sling Ottoman offers a simple and refined foot rest."
161116,Corsica,SLING,DOUBLE GLIDER,"The Corsica Sling Glider offers elegant patio furniture crafted from durable powder-coated aluminum featuring flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support, while the taut fabric provide seat and back support. Sit back and relax in the Corsica Sling Glider."
161127-28,Corsica,SLING,SWIVEL BAR STOOL,"The Corsica Sling Bar Stool is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support. With fabric slung taut across the seat and back frame, the Corsica Sling Bar Stool creates a simple and refined bar setting."
161132,Corsica,PADDED SLING,CHAISE LOUNGE,"The Corsica Sling Chaise Lounge offers elegant patio furniture crafted from durable powder-coated aluminum featuring flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support. With fabric slung taut across the seat and back frame, the Corsica Sling Chaise Lounge creates a simple and refined poolside setting."
161137PS,Corsica,PADDED SLING,DINING CHAIR,"The Corsica Padded Sling Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. With two-layers of cushioned fabric slung across the seat and back, the Corsica Padded Sling Dining Chair creates a simple and refined culinary setting."
161101PS,Corsica,PADDED SLING,HIGH BACK DINING CHAIR,"The Corsica Padded Sling High Back Dining Chair is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design delivers sink-in comfort while providing head support. With two-layers of cushioned fabric slung across the seat and back, the Corsica Padded Sling High Back Dining Chair creates a simple and refined culinary setting."
161169PS,Corsica,PADDED SLING,SWIVEL ROCKER,The Corsica Padded Sling Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. Two-layers of cushioned fabric slung across the seat and back delivers comfort and support. Sit back and relax in the Corsica Padded Sling Swivel Rocker.
161170PS,Corsica,PADDED SLING,HIGH BACK SWIVEL ROCKER,"The Corsica Padded Sling High Back Swivel Rocker is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. The high-back design provides head support, while the two layers of taut fabric deliver sink-in comfort and seat and back support. Sit back and relax in the Corsica Padded Sling High Back Swivel Rocker."
161125NTPS,Corsica,PADDED SLING,SWIVEL ACTION LOUNGER,The Corsica Padded Sling Swivel Action Lounger is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. Two-layers of cushioned fabric slung across the seat and back delivers comfort and support. Sit back and relax in the Corsica Padded Sling Swivel Action Lounger.
161117PS,Corsica,PADDED SLING,OTTOMAN,"The Corsica Padded Sling Ottoman is crafted from durable powder-coated aluminum and features flowing curves. With two layers of cushioned fabric slung taut, the Corsica Padded Sling Ottoman offers a simple and refined foot rest."
161116PS,Corsica,PADDED SLING,DOUBLE GLIDER,The Corsica Padded Sling Glider offers elegant patio furniture crafted from durable powder-coated aluminum featuring flowing curves and end-of-arm rolled detailing. Two-layers of cushioned fabric slung across the seat and back delivers comfort and support. Sit back and relax in the Corsica Padded Sling Glider.
161127PS-28,Corsica,PADDED SLING,BAR STOOL,The Corsica Padded Sling Bar Stool is crafted from durable powder-coated aluminum and features flowing curves and end-of-arm rolled detailing. Two-layers of cushioned fabric slung across the seat and back frame delivers comfort and support. The Corsica Padded Sling Bar Stool creates a simple and refined bar setting.
161132PS,Corsica,PADDED SLING,CHAISE LOUNGE,The Corsica Padded Sling Chaise Lounge offers elegant patio furniture crafted from durable powder-coated aluminum featuring flowing curves and end-of-arm rolled detailing. Two-layers of cushioned fabric slung across the seat and back delivers comfort and support. The Corsica Padded Sling Chaise Lounge creates a simple and refined poolside setting.
391411,Kenzo,CUSHION,LOUNGE CHAIR,"Designed by Peter Homestead, the Kenzo Cushion Lounge Chair exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Lounge Chair features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor patio chair delivers sink-in comfort for relaxation all day long."
391425NT,Kenzo,CUSHION,SWIVEL ACTION LOUNGER,"Designed by Peter Homestead, the Kenzo Cushion Swivel Action Lounger exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Swivel Action Lounger features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor patio chair delivers sink-in comfort for relaxation all day long."
391417,Kenzo,CUSHION,OTTOMAN,"Designed by Peter Homestead, the Kenzo Cushion Ottoman exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Ottoman features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The outdoor ottoman delivers sink-in comfort for your feet all day long."
391414,Kenzo,CUSHION,LOVE SEAT,"Designed by Peter Homestead, the Kenzo Cushion Love Seat exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Love Seat features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor love seat delivers sink-in comfort for relaxation all day long."
391421,Kenzo,CUSHION,SOFA,"Designed by Peter Homestead, the Kenzo Cushion Sofa exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Sofa features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor sofa delivers sink-in comfort for relaxation all day long."
391432,Kenzo,CUSHION,CHAISE LOUNGE,"Designed by Peter Homestead, the Kenzo Cushion Chaise Lounge exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Chaise Lounge features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor chaise lounge delivers sink-in comfort for relaxation all day long."
391810CC2,Kenzo,CUSHION,CRESCENT ARMLESS,"Kenzo Armless Crescent Love Seat has a unique, transitional design, while signifying superior outdoor comfort. Kenzo features clean, graceful lines, a wide frame, and comfortable fabrics from Tropitone's large selection. Add this complimentary look to your luxury outdoor hospitality space."
391410CL,Kenzo,CUSHION,CRESCENT LOVE SEAT,"Designed by Peter Homestead, the Kenzo Cushion Crescent Love Seat exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Crescent Love Seat features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor love seat delivers sink-in comfort for relaxation all day long. Create intimate chat settings by pairing this crescent love seat around Tropitone® Tables or Fire Pits."
391410CS,Kenzo,CUSHION,CRESCENT SOFA,"Designed by Peter Homestead, the Kenzo Cushion Crescent Sofa exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Crescent Sofa features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The high-back design of the outdoor love seat delivers sink-in comfort for relaxation all day long. Create intimate chat settings by pairing this crescent sofa around Tropitone® Tables or Fire Pits."
391610MR2,Kenzo,MODULAR,RIGHT ARM,"Designed by Peter Homestead, the Kenzo Right Arm 2-Seat Module exhibits simple, graceful lines and wide frame. The Kenzo Modular Collection features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. Pair the Kenzo Right Arm 2-Seat Module with other Kenzo Modular outdoor furniture pieces to create a unique seating arrangement. The high-back design delivers sink-in comfort for relaxation all day long."
391610MC,Kenzo,MODULAR,ARMLESS MODULE,"Designed by Peter Homestead, the Kenzo Armless Module exhibits simple, graceful lines and wide frame. The Kenzo Modular Collection features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. Pair the Kenzo Armless Module with other Kenzo Modular outdoor furniture pieces to create a unique seating arrangement. The high-back design delivers sink-in comfort for relaxation all day long."
391610SC,Kenzo,MODULAR,SQUARE CORNER MODULE,"Designed by Peter Homestead, the Kenzo Square Corner Module exhibits simple, graceful lines and wide frame. The Kenzo Modular Collection features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. Pair the Kenzo Square Corner Module with other Kenzo Modular outdoor furniture pieces to create a unique seating arrangement. The high-back design delivers sink-in comfort for relaxation all day long."
391610ML2,Kenzo,MODULAR,LEFT ARM 2-SEAT MODULE,"Designed by Peter Homestead, the Kenzo Left Arm 2-Seat Module exhibits simple, graceful lines and wide frame. The Kenzo Modular Collection features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. Pair the Kenzo Left Arm 2-Seat Module with other Kenzo Modular outdoor furniture pieces to create a unique seating arrangement. The high-back design delivers sink-in comfort for relaxation all day long."
391611WS,Kenzo,WOVEN,LOUNGE CHAIR,"Designed by Peter Homestead, the Kenzo Cushion Lounge Chair exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Lounge Chair features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The woven panels feature the TropiKane® Bison Weave set into the aluminum frame. The high-back design of the outdoor patio chair delivers sink-in comfort for relaxation all day long."
391614WS,Kenzo,WOVEN,LOVE SEAT,"Designed by Peter Homestead, the Kenzo Love Seat exhibits simple, graceful lines and a wide frame with woven panels. The Kenzo Love Seat features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The woven panels feature the TropiKane® Bison Weave set into the aluminum frame.The high-back design of the outdoor love seat delivers sink-in comfort for relaxation all day long."
391621WS,Kenzo,WOVEN,SOFA,"Designed by Peter Homestead, the Kenzo Cushion Sofa exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Sofa features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The woven panels feature the TropiKane® Bison Weave set into the aluminum frame. The high-back design of the outdoor sofa delivers sink-in comfort for relaxation all day long."
391625NTWS,Kenzo,WOVEN,SWIVEL ACTION LOUNGER,"Designed by Peter Homestead, the Kenzo Cushion Swivel Action Lounger exhibits simple, graceful lines and a wide frame. The Kenzo Cushion Swivel Action Lounger features the exclusive RELAXplus® technology for optimal comfort, longevity, and mildew resistance. The woven panels feature the TropiKane® Bison Weave set into the aluminum frame. The high-back design of the outdoor patio chair delivers sink-in comfort for relaxation all day long."
381537,Kenzo,SLING,DINING CHAIR,"Designed by Peter Homestead, the Kenzo Sling Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Dining Chair delivers optimal comfort for relaxation long after the meal has ended."
381501,Kenzo,SLING,HIGH BACK DINING CHAIR,"Designed by Peter Homestead, the Kenzo Sling High Back Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features a single layer of durable, designer fabric with a taut appearance and a high back for optimal head support. The Kenzo Sling High Back Dining Chair delivers optimal comfort for relaxation long after the meal has ended."
381569,Kenzo,SLING,SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Sling Swivel Rocker exhibits simple, graceful lines and a wide frame. This outdoor swivel chair features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Swivel Rocker delivers optimal comfort for relaxation all day long."
381570,Kenzo,SLING,HIGH BACK SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Sling High Back Swivel Rocker exhibits simple, graceful lines and a wide frame. This outdoor dining chair features a single layer of durable, designer fabric with a taut appearance and a high back for optimal head support. The Kenzo Sling High Back Swivel Rocker delivers optimal comfort for relaxation all day long."
381525NT,Kenzo,SLING,SWIVEL ACTION LOUNGER,"Designed by Peter Homestead, the Kenzo Sling Swivel Action Lounger exhibits simple, graceful lines and a wide frame. This outdoor swivel lounge chair features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Swivel Action Lounger delivers optimal comfort for relaxation all day long."
381517,Kenzo,SLING,OTTOMAN,"Designed by Peter Homestead, the Kenzo Sling Ottoman exhibits simple, graceful lines and a wide frame. This outdoor ottoman features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Ottoman delivers optimal comfort for your feet all day long."
381527-28,Kenzo,SLING,SWIVEL BAR STOOL,"Designed by Peter Homestead, the Kenzo Sling Swivel Bar Stool exhibits simple, graceful lines and a wide frame. This outdoor bar chair features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Swivel Bar Stool delivers optimal comfort for any social environment."
381532,Kenzo,SLING,CHAISE LOUNGE,"Designed by Peter Homestead, the Kenzo Sling Chaise Lounge exhibits simple, graceful lines and a wide frame. This piece of outdoor furniture features a single layer of durable, designer fabric with a taut appearance. The Kenzo Sling Chaise Lounge delivers optimal comfort for relaxation all day long."
381537PS,Kenzo,PADDED SLING,DINING CHAIR,"Designed by Peter Homestead, the Kenzo Padded Sling Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Dining Chair delivers comfort for relaxation long after the meal has ended."
381501PS,Kenzo,PADDED SLING,HIGH BACK DINING CHAIR,"Designed by Peter Homestead, the Kenzo Padded Sling High Back Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. This outdoor dining chair has a high back for optimal head support. The Kenzo Padded Sling High Back Dining Chair delivers comfort for relaxation long after the meal has ended."
381569PS,Kenzo,PADDED SLING,SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Padded Sling Swivel Rocker exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Swivel Rocker delivers comfort for relaxation all day long."
381570PS,Kenzo,PADDED SLING,HIGH BACK SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Padded Sling High Back Swivel Rocker exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. This outdoor swivel rocker has a high back for optimal head support. The Kenzo Padded Sling High Back Swivel Rocker delivers comfort for relaxation all day long."
381525NTPS,Kenzo,PADDED SLING,SWIVEL ACTION LOUNGER,"Designed by Peter Homestead, the Kenzo Padded Sling Swivel Action Lounger exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Swivel Action Lounger delivers optimal comfort for relaxation all day long."
381517PS,Kenzo,PADDED SLING,OTTOMAN,"Designed by Peter Homestead, the Kenzo Padded Sling Ottoman exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Ottoman delivers optimal comfort for relaxation all day long."
381527PS-28,Kenzo,PADDED SLING,SWIVEL BAR STOOL,"Designed by Peter Homestead, the Kenzo Padded Sling Swivel Bar Stool exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Swivel Bar Stool delivers optimal comfort for any social environment."
381532PS,Kenzo,PADDED SLING,CHAISE LOUNGE,"Designed by Peter Homestead, the Kenzo Padded Sling Chaise Lounge exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Chaise Lounge delivers optimal comfort for relaxation all day long."
381537WS,Kenzo,PADDED SLING,DINING CHAIR,"Designed by Peter Homestead, the Kenzo Woven Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Woven Dining Chair delivers optimal comfort for relaxation long after the meal has ended."
381501WS,Kenzo,PADDED SLING,HIGH BACK DINING CHAIR,"Designed by Peter Homestead, the Kenzo Woven High Back Dining Chair exhibits simple, graceful lines and a wide frame. This outdoor dining chair features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Woven High Back Dining Chair delivers optimal comfort for relaxation long after the meal has ended."
381569WS,Kenzo,PADDED SLING,SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Woven Swivel Rocker exhibits simple, graceful lines and a wide frame. This outdoor swivel chair features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Woven Swivel Rocker delivers optimal comfort for relaxation long after the meal has ended."
381570WS,Kenzo,PADDED SLING,HIGH BACK SWIVEL ROCKER,"Designed by Peter Homestead, the Kenzo Woven High Back Swivel Rocker exhibits simple, graceful lines and a wide frame. This woven outdoor chair features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Woven High Back Swivel Rocker delivers optimal comfort for relaxation long after the meal has ended."
381525NTWS,Kenzo,PADDED SLING,SWIVEL ACTION LOUNGER,"Designed by Peter Homestead, the Kenzo Woven Swivel Action Lounger exhibits simple, graceful lines and a wide frame. This outdoor swivel chair features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Swivel Woven Action Lounger delivers optimal comfort for relaxation all day long."
381517WS,Kenzo,PADDED SLING,OTTOMAN,"Designed by Peter Homestead, the Kenzo Woven Ottoman exhibits simple, graceful lines and a wide frame. This outdoor ottoman features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Ottoman delivers optimal comfort for your feet all day long."
381527WS-28,Kenzo,PADDED SLING,SWIVEL BAR STOOL,"Designed by Peter Homestead, the Kenzo Woven Swivel Bar Stool exhibits simple, graceful lines and a wide frame. This outdoor bar stool features Tropitone’s desirable TropiKane® Bison Weave. The Kenzo Woven Swivel Bar Stool delivers optimal comfort for relaxation all day long."
381532PS,Kenzo,PADDED SLING,CHAISE LOUNGE,"Designed by Peter Homestead, the Kenzo Padded Sling Chaise Lounge exhibits simple, graceful lines and a wide frame. This outdoor dining chair features two pieces of designer fabric slung across the seat and back to provide comfort with modern styling. The Kenzo Padded Sling Chaise Lounge delivers optimal comfort for relaxation all day long."
901611AC,KOR,CUSHION,ARM CHAIR,"Inspired by mid-century modern design, the contemporary KOR Cushion Arm Chair features an edgy design with arched, angled legs. The KOR Cushion Arm Chair utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Arm Chair is sure to make a statement on the patio."
901650,KOR,CUSHION,LOUNGER,"Inspired by mid-century modern design, the contemporary KOR Cushion Lounger features an edgy design with arched, angled legs. The KOR Cushion Lounger utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Lounger is sure to make a statement on the patio."
901652,KOR,CUSHION,LOUNGER OTTOMAN,"Inspired by mid-century modern design, the contemporary KOR Cushion Ottoman features an edgy design with arched, angled legs. The KOR Cushion Ottoman utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Ottoman is sure to make a statement on the patio."
901650SD,KOR,CUSHION,LOUNGER W/ SHADE,"Inspired by mid-century modern design, the contemporary KOR Cushion Lounger with Shade features an edgy design with arched, angled legs. The KOR Cushion Lounger utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. This KOR Cushion Lounger has a canopy for increased comfort and protection from the sun and wind. The KOR Cushion Lounger with Shade is sure to make a statement on the patio."
901610MR,KOR,MODULAR,RIGHT ARM MODULE,"Inspired by mid-century modern design, the contemporary KOR Cushion Modular pieces feature an edgy design with arched, angled legs. Each KOR Cushion Module utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Modular Furniture pairs together to make a statement on the patio."
901610MC,KOR,MODULAR,ARMLESS MODULE,"Inspired by mid-century modern design, the contemporary KOR Cushion Modular pieces feature an edgy design with arched, angled legs. Each KOR Cushion Module utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Modular Furniture pairs together to make a statement on the patio."
901610ML,KOR,MODULAR,LEFT ARM MODULE,"Inspired by mid-century modern design, the contemporary KOR Cushion Modular pieces feature an edgy design with arched, angled legs. Each KOR Cushion Module utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Modular Furniture pairs together to make a statement on the patio."
901610CC,KOR,MODULAR,CURVED CORNER MODULE,"Inspired by mid-century modern design, the contemporary KOR Cushion Modular pieces feature an edgy design with arched, angled legs. Each KOR Cushion Module utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. The KOR Cushion Modular Furniture pairs together to make a statement on the patio."
901710SC,KOR,MODULAR,SQUARE CORNER MODULE,"Inspired by mid-century modern design, the contemporary KOR Cushion Square Corner Module features an edgy design with arched, angled legs. The KOR Cushion Square Corner Module utilizes reticulated foam fill with vented cushions. Providing comfort and style, these sculpted cushions are available in Tropitone’s variety of cushion fabrics. Pair the KOR Cushion Square Corner Module with other KOR modular pieces to make a statement on the patio."
891814,KOR,SLING,LOVE SEAT TIGHT SLING,
891821,KOR,SLING,SOFA TIGHT SLING,
891732,KOR,SLING,TIGHT SLING,
891733,KOR,SLING,TIGHT SLING,
891524PS,KOR,PADDED SLING,DINING CHAIR 4,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Dining Chair features an edgy design with a curved back and arms and arched, angled legs. The outdoor dining chair features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Dining Chairs nest for easy storage. These patio chairs are sure to provide a fresh environment on your patio."
