id,sku,name,slug,category_id,description,short_description
5561,868ARU-F,The Aurora Fiberglass,the-aurora-fiberglass,38,"Maximize your space without a traditional center post. The Aurora Fiberglass is manufactured using the industry's best materials and fabrics to provide many years of trouble-free use and enjoyment. Its Infinity Tilt allows you to change positions effortlessly. This modern cantilever is suitable for use in low to moderate wind conditions and ensures hours of protection from the sun and light rain.

Operation: 360 degree mast rotation with 16 locking positions every 22.5 degrees; Canopy Infinity Tilt for countless hours of maximum shade; automatic tilt locking for safety; smooth, commercially rated crank lift operation.

Ribs: solid .75 inch (19mm) fiberglass ribs.

Pole & Hardware: extruded aluminum mast; stainless steel hardware throughout; stainless steel screw and grommet canopy attachments.

Canopy Features: engineered to withstand sustained 30 mph winds; black polyester protective cover included.

Note: the 8.5' x 11' rectangular size (882ARU-F-R) carries a 15 mph wind rating and is rated for residential use only.",Fiberglass cantilever umbrella
2300,868ECU,The Eclipse,the-eclipse,38,"This umbrella combines style with size, strength, and durability to provide a lasting solution to your shade needs. Its 360 degree rotation and Infinity Tilt allow for easy opening and closing while providing complete shade flexibility. Heavy-gauge extruded aluminum and stainless steel parts on a marine-grade, corrosion-resistant aluminum frame ensure the Eclipse is ideal for both commercial and residential environments.

Features: 360 degree mast rotation (24 locking positions every 15 degrees) • Canopy Infinity Tilt provides countless hours of maximum shade • Automatic tilt locking for safety • Smooth commercially rated crank lift operation • Extruded aluminum mast and ribs • Stainless steel hardware throughout • Black Polyester Protective Cover Bag included • Engineered to withstand sustained 30 mph winds (898ECU-R: 15 mph) • Included Wind Stabilization Kit adds 5 mph",Cantilever umbrella
2297,880CAM,The Giant Greenwich,the-giant-greenwich,38,"The G-Series Greenwich is polished, refined and has redefined the aluminum market umbrella. This stylish, well-designed frame is manufactured using a single 2"" diameter aluminum center post with a 3 mm wall thickness, increasing lateral strength for locations susceptible to more than gentle winds. Its polished silver anodized finish and solid marine chrome plated aluminum finial offer the perfect finishing touch to any upscale environment.

Features: Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system • Ergonomically designed ribs provide added strength • 2"" dia. x 3.2mm thick aluminum center pole • Stainless steel hardware throughout • Stainless steel canopy grommet attachment • Engineered to withstand sustained 35 mph winds",Giant aluminum market umbrella
2298,880FM,The Giant Monterey,the-giant-monterey,38,"We took our renowned Monterey fiberglass market umbrella and maximized its potential. Now with a single 2"" diameter aluminum center post and superior 3/4"" thick fiberglass ribs, this impressive frame is sure to hold its beautiful aesthetic shape without sacrificing flexibility. Made with the same great dependable features, the G-Series Monterey is the best solution for maximum stylish shade.

Features: Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system • .75"" (19mm) diameter fiberglass ribs • 2"" dia. x 3.2mm thick aluminum center pole • Stainless steel hardware throughout • Stainless steel canopy grommet attachment • Engineered to withstand sustained 35 mph winds",Giant fiberglass market umbrella
5557,883MLA-SQ,Marella Resort Cabana,marella-resort-cabana,38,"The Marella is a 10ft x 10ft square luxury pool, beach, and resort cabana. Complete marine-grade extruded aluminum frame with Type II, Class I performance marine anodizing and 316L stainless steel hardware and couplings throughout. 2"" diameter (.125"" thick) corner mounting posts, 1.5"" diameter (.125"" thick) 45-degree corner structure supports, and 2mm thick canopy ribs for added strength against the wind. Easy drop-in canopy attachment with barrel bolt connections, engineered for simplified assembly.
Included: four (4) MLA-8ST2 8"" stainless steel stems, four (4) full-corner accent curtains, and the VF-SS stainless steel vertex finial.
Wind rating: engineered to withstand sustained 35 mph winds. The wind rating is null and void when full or split walls are in use.","Custom Lead Times, Call for Details"
5553,896NGU,The Nova,the-nova,38,"The Nova offers maximum shade and weather protection for commercial and residential environments. Its 9 oz. marine-grade acrylic canopy is supported by reinforced extruded aluminum ribs that connect to a 4-inch mast. The commercial-grade telescoping mechanism allows for effortless opening and closing of the umbrellas without having to move any furniture underneath. The Nova is one of the only large shade structures in the industry with semi-permanent and non-permanent mounts available. This umbrella not only looks spectacular, but is a practical shade solution in a number of applications.",Giant telescoping umbrella
5614,BH-CHAIR,Beach Haven Folding Beach Chair,bh-chair,38,Concession grade folding beach chair with extruded aluminum frame and stainless steel hardware. Features four reclining positions and olefin fabric. Custom lead times apply.,Folding aluminum beach chair with four reclining positions.
5615,BH-UMBRELLA,Beach Haven Folding Beach Umbrella,bh-umbrella,38,Concession grade folding beach umbrella with extruded aluminum frame and stainless steel hardware. Olefin fabric. Carry bag included. Custom lead times apply.,6' octagon folding beach umbrella with carry bag included.
5133,CB87,CB87 Clam Shell Beach Cabana,cb87-clam-shell-beach-cabana-frankford,38,Concession grade folding beach cabana with extruded aluminum frame and stainless steel hardware. PVC pole stays and olefin fabric. Custom lead times apply.,"87"" wide concession grade folding beach cabana."
5129,FC-TBL,Oak Wood Folding Table,fc-tbl-frankford,38,Oak wood folding side table with stainless steel hardware.,"17"" oak wood folding side table with stainless steel hardware."
5127,FC101,Oakwood Beach Lounger,oakwood-beach-lounger-frankford,38,Concession grade oak wood beach lounger with double marine spar varnish finish and stainless steel hardware. Features four reclining positions and a hook-attachable / detachable foot rest. Upholstery fabrics not available. Custom lead times apply.,Oak wood beach lounger with detachable foot rest and four reclining positions.
5128,FC101-NF,Oakwood Beach Lounger (No Foot Rest),oakwood-beach-lounger-no-foot-rest-frankford,38,Concession grade oak wood beach lounger with double marine spar varnish finish and stainless steel hardware. Features four reclining positions. No foot rest. Upholstery fabrics not available. Custom lead times apply.,Oak wood beach lounger with four reclining positions. No foot rest.
5090,+W,Castor Locking Wheels (Set of 4),hdw-kit-frankford,39,Heavy duty castor locking wheel kit. Adds wheels to 36G-SQ-Bottom.,Heavy duty castor locking wheel kit. Adds wheels to 36G-SQ-Bottom.
5072,100A,Premium Aluminum Shell Wheel Base 100 lbs,100a-round-frankford,39,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 8ST (table) or 18ST (freestanding) stem. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 8ST (table) or 18ST (freestanding) stem. Premium aluminum base.
5073,100S,Steel Plate Base 100 lbs,100s-square-frankford,39,Steel plate wheel base. Freestanding with wheels.,Steel plate wheel base. Freestanding with wheels.
5074,150A,Premium Aluminum Shell Wheel Base 150 lbs,150a-round-frankford,39,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 18ST (freestanding or table) or 8ST (table) stem. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 18ST (freestanding or table) or 8ST (table) stem. Premium aluminum base.
5103,150A+18ST2,Premium Aluminum Shell Wheel Combo (150 lb Base & Stem),150a-18st2-round-frankford,39,Aluminum concrete-filled shell with rear hooded wheels. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Premium aluminum base.
5087,18ST,"Stainless Steel Stem (1.5"" x 18"")",18st-stem-frankford,39,Stainless steel freestanding stem. Not available in powder-coated finishes.,Stainless steel freestanding stem. Not available in powder-coated finishes.
5089,18ST2,"Stainless Steel Stem (2.0"" x 18"")",18st2-stem-classic-frankford,39,Stainless steel stem.,Stainless steel stem.
5083,20G-SQ,Square Galvanized Steel Base 70 lbs,20g-square-frankford,39,Galvanized steel plate base. Cannot be stacked. Table use with 8ST stem.,Galvanized steel plate base. Cannot be stacked. Table use with 8ST stem.
5075,23,Resin Coated Concrete Base 80 lbs,23-round-frankford,39,Resin concrete base. Table use or freestanding.,Resin concrete base. Table use or freestanding.
5084,24G,Round Galvanized Steel Base 70 lbs,24g-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Table use with 8ST stem.,Galvanized steel plate base. Stackable up to 4 plates. Table use with 8ST stem.
5076,24G-SQ,Square Galvanized Steel Base 100 lbs,24g-square-frankford,39,Galvanized steel plate base. Cannot be stacked. Must be paired with 8ST (table) or 18ST (freestanding) stem.,Galvanized steel plate base. Cannot be stacked. Must be paired with 8ST (table) or 18ST (freestanding) stem.
5077,30G,Round Galvanized Steel Base 100 lbs,30g-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST (freestanding) or 8ST (table) stem.,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST (freestanding) or 8ST (table) stem.
5118,30G+24G-MLA,Round Galvanized Steel Base Stacks Marella Combo (Base & Double Plates),30g-24g-mla-round-frankford,39,Galvanized steel plate base. A third plate equal to or greater than the bottom plate can be added. Freestanding. 4 plate stacks required.,Galvanized steel plate base. A third plate equal to or greater than the bottom plate can be added. Freestanding. 4 plate stacks required.
5119,30G-MLA,Round Galvanized Steel Base Stacks 100 lbs (Marella),30g-mla-round-frankford,39,Galvanized steel plate. Stackable up to 4 plates. Must be paired with a stem. Freestanding. 4 plates required.,Galvanized steel plate. Stackable up to 4 plates. Must be paired with a stem. Freestanding. 4 plates required.
5120,30Gx2-MLA,Round Galvanized Steel Base Stacks 200 lbs (Marella),30gx2-mla-round-frankford,39,Galvanized steel plate base. A third plate can be added. Freestanding. 4 plate stacks required.,Galvanized steel plate base. A third plate can be added. Freestanding. 4 plate stacks required.
5078,36G,Round Galvanized Steel Base 150 lbs,36g-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST stem.,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST stem.
5104,36G+18ST2,Round Galvanized Steel Base Stacks Combo (150 lb Base & Stem),36g-18st2-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Freestanding.,Galvanized steel plate base. Stackable up to 4 plates. Freestanding.
5121,36G-MLA,Round Galvanized Steel Base Stacks 150 lbs (Marella),36g-mla-round-frankford,39,Galvanized steel plate. Stackable up to 4 plates. Must be paired with a stem. Freestanding. 4 plates required.,Galvanized steel plate. Stackable up to 4 plates. Must be paired with a stem. Freestanding. 4 plates required.
5079,36G-SQ,Square Galvanized Steel Base 200 lbs,36g-square-frankford,39,Galvanized steel plate base. Freestanding use (+W-Kit). Must be paired with a stem.,Galvanized steel plate base. Freestanding use (+W-Kit). Must be paired with a stem.
5105,36G-SQ+18ST2,Square Galvanized Steel Base and Base Stacks Combo (200 lb Base & Stem),36g-sq-18st2-frankford,39,Galvanized steel plate. Freestanding (+W-Kit).,Galvanized steel plate. Freestanding (+W-Kit).
5122,36G-SQ-MLA,Square Galvanized Steel Base (Marella),36g-sq-mla-frankford,39,Galvanized steel plate. Freestanding. Wheels not recommended. 4 plates required.,Galvanized steel plate. Freestanding. Wheels not recommended. 4 plates required.
5091,36G-SQx2,Square Galvanized Steel Base and Base Stacks 400 lbs,36g-sqx2-frankford,39,Galvanized steel plate base. Freestanding (+W-Kit). Add wheels with +HDW-Kit. Required minimum galvanized stack for the Aurora Cantilever.,Galvanized steel plate base. Freestanding (+W-Kit). Add wheels with +HDW-Kit. Required minimum galvanized stack for the Aurora Cantilever.
5092,36G-SQx3,Square Galvanized Steel Base and Base Stacks 600 lbs,36g-sqx3-frankford,39,Galvanized steel plate. Freestanding. Required minimum galvanized stack for the Eclipse Cantilever.,Galvanized steel plate. Freestanding. Required minimum galvanized stack for the Eclipse Cantilever.
5562,36G-SQx4,Square Galvanized Steel Base and Base Stacks 800 lbs,square-galvanized-steel-base-and-base-stacks-800-lbs-frankford,39,,
5564,38-SAP,"Sand and Soil Anchor (1.5"")",sand-and-soil-anchor-1-5-frankford,39,,
5565,38-SAP-2,"Sand and Soil Anchor (2"")",sand-and-soil-anchor-2-frankford,39,,
5080,40G,Round Galvanized Steel Base 185 lbs,40g-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with a stem.,Galvanized steel plate base. Stackable up to 4 plates. Must be paired with a stem.
5106,40G+18ST2,Round Galvanized Steel Base Stacks Combo (185 lb Base & Stem),40g-18st2-round-frankford,39,Galvanized steel plate base. Stackable up to 4 plates. Freestanding.,Galvanized steel plate base. Stackable up to 4 plates. Freestanding.
5094,40G+36G,Round Galvanized Steel Base Stacks Combo (Base & 2 Stacking Plates),40g-36g-round-frankford,39,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.
5095,40Gx2,Round Galvanized Steel Base Stacks 370 lbs,40gx2-round-frankford,39,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.
5096,40Gx3,Round Galvanized Steel Base Stacks 555 lbs,40gx3-round-frankford,39,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for Aurora and Eclipse Cantilever.,Galvanized steel stack base. Freestanding. Required minimum galvanized stack for Aurora and Eclipse Cantilever.
5097,40Gx4,Round Galvanized Steel Base Stacks 740 lbs,40gx4-round-frankford,39,Galvanized steel stack base. Freestanding.,Galvanized steel stack base. Freestanding.
5081,480,Galvanized Wheel Base w/ Aluminum Cover,480-square-classic-frankford,39,Powder coated aluminum cover. Includes wheels and feet. Pavers not included. Freestanding with 18ST stem. Minimum 480 lbs./217 kg. with pavers.,Powder coated aluminum cover. Includes wheels and feet. Pavers not included. Freestanding with 18ST stem. Minimum 480 lbs./217 kg. with pavers.
5107,480+18ST2,Model 480 Wheel Base Combo (Base & Stem),480-18st2-square-frankford,39,Powder coated aluminum cover. Includes wheels. Pavers not included. Minimum 480 lbs./217 kg. with pavers. Freestanding.,Powder coated aluminum cover. Includes wheels. Pavers not included. Minimum 480 lbs./217 kg. with pavers. Freestanding.
5085,50C,Resin Coated Concrete Base 50 lbs,50c-round-frankford,39,Resin concrete base. Table use.,Resin concrete base. Table use.
5086,50S,Steel Plate Base 50 lbs,50s-steel-plate-base-frankford,39,Steel plate base. Table use.,Steel plate base. Table use.
5082,75S,Steel Plate Base 75 lbs,75s-square-frankford,39,Steel plate wheel base. Freestanding.,Steel plate wheel base. Freestanding.
5088,8ST,"Stainless Steel Stem (1.5"" x 8"")",8st-stem-frankford,39,Stainless steel table use stem. Not available in powder-coated finishes.,Stainless steel table use stem. Not available in powder-coated finishes.
5563,BZ-SM,"Bazooka In-Ground Anchored Stem (1.5"")",bazooka-in-ground-anchored-stem-1-5-frankford,39,,
5111,BZ2-SM,"Bazooka In-Ground Anchored Stem (2"")",bazooka-in-ground-anchored-stem-2-frankford,39,In-ground sleeve installation with removable stem. Stainless steel upgrade available (BZ2-SS). Installation materials not included.,In-ground sleeve installation with removable stem. Stainless steel upgrade available (BZ2-SS). Installation materials not included.
5112,BZ2-SS,Stainless Steel Bazooka Stem Upgrade,bz2-ss-upgrade-frankford,39,Stainless steel bazooka stem upgrade. Add to BZ2-SM MSRP.,Stainless steel bazooka stem upgrade. Add to BZ2-SM MSRP.
5113,CMLK-SM,Camlock Surface Mounted Stem,cmlk-sm-frankford,39,"Stainless steel surface mounting plate with attachable 18"" stem. Installation hardware not included.","Stainless steel surface mounting plate with attachable 18"" stem. Installation hardware not included."
5100,DP-SM/BK,Surface Mount Deck Plate,dp-frankford,39,Direct surface mounting plate. Stainless steel upgrade available (DP-SS). In-ground mounting into soft soil or concrete. Installation hardware not included.,Direct surface mounting plate. Stainless steel upgrade available (DP-SS). In-ground mounting into soft soil or concrete. Installation hardware not included.
5101,DP-SS,Stainless Steel Surface Mount Deck Plate,dp-ss-cantilever-frankford,39,Stainless steel surface mount deck plate. Installation hardware not included.,Stainless steel surface mount deck plate. Installation hardware not included.
5114,DP-ST,Stainless Steel Stem Surface Mount,dp-st-giant-frankford,39,Stainless steel surface mounting plate. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Free-standing surface mount.,Stainless steel surface mounting plate. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Free-standing surface mount.
5124,DP-ST (4),Stainless Steel Stem Surface Mount (4),dp-st-marella-frankford,39,Stainless steel surface mounting plate. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Sold as 4 (required). Installation hardware not included.,Stainless steel surface mounting plate. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Sold as 4 (required). Installation hardware not included.
5558,IG,In-Ground Mount,in-ground-mount,39,In-ground galvanized steel mount for soil or concrete. Installation hardware not included.,
5116,IG-ST,Stainless Steel Stem In-Ground Mount,ig-st-frankford,39,In-ground mounting into soft soil or concrete. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Installation materials not included.,In-ground mounting into soft soil or concrete. For use only with stainless stems (8ST/18ST-2/MLA-8ST2). Installation materials not included.
5123,MLA-8ST2,Marella Stainless Steel Stem,marella-stainless-steel-stem-frankford,39,Even pressure clamping plate. Security hitch pin. Marella stem included. Single replacement stem.,Even pressure clamping plate. Security hitch pin. Marella stem included. Single replacement stem.
5108,NGU-DP,Galvanized Steel Surface Mount Deck Plate,ngu-dp-frankford,39,Nova-specific surface mounting plate. In-ground mounting into soft soil or concrete. Installation hardware not included.,Nova-specific surface mounting plate. In-ground mounting into soft soil or concrete. Installation hardware not included.
5109,NGU550,Galvanized Steel Max Base,ngu550-frankford,39,Nova-specific galvanized steel max base. Powder coated aluminum cover. Commercial use and large areas. Freestanding.,Nova-specific galvanized steel max base. Powder coated aluminum cover. Commercial use and large areas. Freestanding.
5102,SS-DB (4),Stainless Steel Countersunk Concrete Wedge Anchors (4),ss-db-4-frankford,39,Stainless steel countersunk concrete wedge anchors. Qty. 4.,Stainless steel countersunk concrete wedge anchors. Qty. 4.
5595,01-B (4),01 Bolt Set (4),01-b-4,41,Use for single galvanized plates / 480 bases / spigots and IG-Mounts. Set of 4.,
5596,02-B (4),02 Bolt Set (4),02-b-4,41,Use for double stack galvanized plates / 100A and 150A bases. Set of 4.,
5597,03-B (4),03 Bolt Set (4),03-b-4,41,Use for triple stack galvanized plates. Set of 4.,
5598,04-B (4),04 Bolt Set (4),04-b-4,41,Use for quad stack galvanized plates. Set of 4.,
5140,1170,Vinyl Cover 6-8ft,vinyl-cover-6-8ft-frankford,41,Vinyl protective cover for 6 to 8 foot umbrellas.,Vinyl protective cover for 6 to 8 foot umbrellas.
5141,1174,Vinyl Cover 9-11ft,vinyl-cover-9-11ft-frankford,41,Vinyl protective cover for 9 to 11 foot umbrellas.,Vinyl protective cover for 9 to 11 foot umbrellas.
5131,30-SA,Drill Bit Sand Auger,sand-auger-frankford,41,"Commercial beach umbrella drill bit auger. For use with 1.5"" diameter aluminum and 1.38"" ash wood bottom poles. Customer must drill hole to accommodate hitch pin.","Commercial beach umbrella drill bit auger. For use with 1.5"" diameter aluminum and 1.38"" ash wood bottom poles. Customer must drill hole to accommodate hitch pin."
5149,37-BP,"Standard Height Bottom Pole (37"")",standard-height-bottom-pole-37-frankford,41,Standard height flat bottom pole for Greenwich/Monterey/Catalina umbrellas.,Standard height flat bottom pole for Greenwich/Monterey/Catalina umbrellas.
5585,38F-SR-BP,"38"" Fiberglass Steel Rib Bottom Pole",38f-sr-bp,41,Standard height bottom pole for Laurel (Crank) umbrellas. SR-Platinum finish.,
5587,42AP,"42"" Aluminum Bottom Pole",42ap,41,Standard height pointed bottom pole for Avalon / Emerald Coast umbrellas. SR-Platinum finish.,
5586,42F-SR-BP,"42"" Fiberglass Steel Rib Bottom Pole",42f-sr-bp,41,Standard height bottom pole for Laurel (Manual Lift) / Lifeguard umbrellas. SR-Platinum finish.,
5150,47-BP,"Bar Height Bottom Pole (47"")",bar-height-bottom-pole-47-frankford,41,"Bar height flat bottom pole for Greenwich/Monterey/Catalina. Adds 10"" to overall clearance.","Bar height flat bottom pole for Greenwich/Monterey/Catalina. Adds 10"" to overall clearance."
5601,480F,480 Base Frame,480f,41,Leveling feet for 480 base.,
5600,480W,480 Weight Plate,480w,41,Swivel locking castor wheels for 480 and 36G-SQ bases.,
5610,50S/23-ST4,50S/23 Steel 4-Plate Stack,50s-23-st4,41,Aluminum short stem for resin filled concrete bases. For 50S and 23 bases.,
5609,50S/23-ST8,50S/23 Steel 8-Plate Stack,50s-23-st8,41,Aluminum stem for resin filled concrete bases. For 50S and 23 bases.,
5589,52F-SR-BP,"52"" Fiberglass Steel Rib Bottom Pole",52f-sr-bp,41,Bar height bottom pole for Laurel / Lifeguard umbrellas. SR-Platinum finish.,
5611,75S/100S-ST8,75S/100S Steel 8-Plate Stack,75s-100s-st8,41,Aluminum stem for steel plate bases. For 100S and 75S bases.,
5608,A-WHEEL,Aluminum Wheel,a-wheel,41,Axle and wheels for 100A and 150A bases.,
5577,ARU-RIB,Aurora Rib,aru-rib,41,Aluminum rib replacement for Aurora Cantilever umbrellas. Contact us to specify size and finish.,
5582,ARU-SP,Aurora Spare Parts Kit,aru-sp,41,Spigot for Aurora / Aurora-F Cantilever umbrellas. Contact us to specify finish.,
5580,ARU-WS,Aurora Wind Strap,aru-ws,41,Wind stabilizer kit for Aurora Cantilever umbrellas. Contact us to specify size.,
5578,ARUF-RIB,Aurora Fiberglass Rib,aruf-rib,41,Fiberglass rib replacement for Aurora-F Cantilever umbrellas. Contact us to specify size and finish.,
5604,BZ-IG,Bazooka In-Ground Anchor,bz-ig,41,Bazooka in-ground female sleeve.,
5605,BZ-ST-SM,Bazooka Steel Stem (Small),bz-st-sm,41,Bazooka powder coated steel stem. SM-Silver Mist finish.,
5606,BZ-ST2-SM,"Bazooka Steel Stem 2"" (Small)",bz-st2-sm,41,"Bazooka powder coated steel stem. SM-Silver Mist finish. 2"" diameter.",
5571,C-SS-VERTEX FINIAL,Chrome Stainless Steel Vertex Finial,c-ss-vertex-finial,41,Stainless steel vertex / cantilever SS-Vertex finial. For Eclipse Cantilever / Aurora Cantilever umbrellas.,
5568,C-TPU VERTEX,C-TPU Vertex Finial,c-tpu-vertex,41,Cantilever TPU vertex finial. For Aurora Cantilever umbrellas.,
5574,CAM-RIB,Camlock Rib,cam-rib,41,Aluminum rib replacement for Greenwich umbrellas. Contact us to specify size and finish.,
5575,CAM-RIB-G,Camlock Rib - G-Series,cam-rib-g,41,Aluminum rib replacement for G-Series Greenwich umbrellas. Contact us to specify size and finish.,
5583,CANOPY-SS,Canopy Support Strap,canopy-ss,41,Stainless steel canopy hardware for Eclipse / Aurora / G-Series / Greenwich umbrellas. Specify 882FMC or 876FMA.,
5132,CB01,Navy Blue Cotton Beach Umbrella Carry Bag,cb01-carry-bag-frankford,41,Navy blue cotton drawstring carry bag for beach umbrellas.,Navy blue cotton drawstring carry bag for beach umbrellas.
