id,sku,name,collection,short_description,description
3221,NC275SG,Bainbridge Swivel Glider Club Chair,Bainbridge,"Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural","Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  
  
  
</ul>"
5538,NC415HBSG-P,Universal High Back Swivel Glider Premium,Bainbridge,,
5539,NC415RX,Universal Recliner,Bainbridge,,
5540,NC415RX-P,Universal Recliner Premium Weave,Bainbridge,,
3368,NC2030-SACL,Balboa Single Adjustable Chaise without Arms,Balboa,This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown,"This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown

<p>This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>"
3367,NC2030-SACL-A,Balboa Single Adjustable Chaise with Arms,Balboa,This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown,"This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown

<p>This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>"
3210,NC65103S,Biscayne Sofa,Biscayne 6510,"Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Wicker/Rattan</li>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Includes 2 small back buttons, no welt</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  <li>Full-sized design provides deep, comfortable seating</li>
  <li>Leg material: Polywood</li>
  <li>Frame Material: Wicker/Rattan</li>
  
  
  
  
  
  
  <li>Product Care: Clean with mild soap and water</li>
  <li>Assembly Required: Yes</li>
</ul>"
3208,NC6510C,Biscayne Lounge Chair,Biscayne 6510,"Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning</li>
  <li>Assembly Required: Yes</li>
  
  
  
</ul>"
3310,NC6510CT-REC,Biscayne Rectangular Coffee Table,Biscayne 6510,"Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density","Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density

<p>Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density Polyethylene.</p>

<ul>
  <li>High-Density Polyethylene (HDPE) all-weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Tempered glass top</li>
</ul>"
5543,NC6510CT-REC-GL,Biscayne Rectangular Coffee Table Glass Top,Biscayne 6510,,
3311,NC6510ET-SQ,Biscayne Square End Table,Biscayne 6510,"Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor","Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor

<p>Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor wicker.</p>

<ul>
  <li>Durability: Weather Resistant</li>
  <li>Glass Top</li>
  <li>Assembly Required: Yes</li>
</ul>"
5542,NC6510ET-SQ-GL,Biscayne Square End Table Glass Top,Biscayne 6510,,
3209,NC6510LS,Biscayne Loveseat,Biscayne 6510,"Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.","Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.

<p>Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.</p>

<ul>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  <li>Frame Material: Wicker/Rattan</li>
  
  
  
  <li>Product Care: Clean with mild soap and water</li>
  <li>Assembly Required: Yes</li>
</ul>"
3349,NC6510O-REC,Biscayne Ottoman,Biscayne 6510,"Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  
  
</ul>"
3312,NC6510R-CHT,Biscayne Rotating Chat Table,Biscayne 6510,Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density,"Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density

<p>Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density Polyethylene.</p>

<ul>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>This unique rotating tabletop offers easy access</li>
  <li>Tempered glass insert</li>
  <li>Seating Capacity: 4</li>
  <li>Durability: Weather Resistant</li>
  <li>Glass Top included</li>
  <li>Assembly Required: Yes</li>
</ul>"
5541,NC6510R-CHT-GL,Biscayne Rotating Chat Table Glass Top,Biscayne 6510,,
3211,NC6510SR,Biscayne Swivel Rocker,Biscayne 6510,Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.,"Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.

<p>Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.</p>

<ul>
  <li>Weight Capacity: 250 lb.</li>
  <li>Assembly Required: No</li>
  
  
  
  
</ul>"
3299,NC2035-DT-55,Braeburn Round Dining Table,Braeburn,This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.,"This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.

<p>This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Seating Capacity: 5</li>
  <li>Table Mechanism: Fixed Table</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>"
3222,NC2703S,Cabo 3 Seater Sofa,Cabo,"Outdoor sofa seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor sofa seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor sofa seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
