sku,name,collection,description,short_description,specs,tags,materials
34185-L,Arc Left Sectional,Arc,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '40', 'collection': 'Arc', 'weight_lbs': '70', 'arm_height_in': '23.5', 'seat_height_in': '20', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-L-Left-Sectional.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '39.25'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34184-CC,Arc Lounge Chair,Arc,"The O.W. Lee Arc Lounge Chair embodies relaxed sophistication through sculpted curves and a minimalist aesthetic. Designed for comfort and visual impact, this outdoor lounge chair offers a modern retreat for patios, terraces, and poolside spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Lounge Chair embodies relaxed sophistication through sculpted curves and a minimalist aesthetic. Designed for comfort and visual impact, this outdoor lounge chair offers a modern retreat for patios, terraces, and poolside spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '34', 'collection': 'Arc', 'weight_lbs': '57', 'arm_height_in': '23.5', 'seat_height_in': '19', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-CC-Lounge-Chair.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '32'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34184-2S,Arc Love Seat,Arc,"The O.W. Lee Arc Love Seat provides intimate seating defined by bold curves and contemporary styling. Its sculptural form and plush cushions create a refined outdoor love seat designed for comfortable conversation and modern outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Love Seat provides intimate seating defined by bold curves and contemporary styling. Its sculptural form and plush cushions create a refined outdoor love seat designed for comfortable conversation and modern outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '34', 'collection': 'Arc', 'weight_lbs': '100 (pkg)', 'arm_height_in': '23.5', 'seat_height_in': '19', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-2S-Love-Seat.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '58'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34170-O,Arc Ottoman,Arc,"The O.W. Lee Arc Ottoman adds versatility and comfort to Arc seating groupings. Its clean form and tailored cushion echo the collection’s modern elegance while serving as a functional accent piece. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Ottoman adds versatility and comfort to Arc seating groupings. Its clean form and tailored cushion echo the collection’s modern elegance while serving as a functional accent piece. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '19', 'collection': 'Arc', 'weight_lbs': '30 (pkg)', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34170-O-Ottoman.pdf', 'depth_length_in': '23.5', 'width_diameter_in': '32'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34185-R,Arc Right Sectional,Arc,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '40', 'collection': 'Arc', 'weight_lbs': '70', 'arm_height_in': '23.5', 'seat_height_in': '20', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-R-Right-Sectional.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '39.25'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34198-CH,Arc Sling Adjustable Chaise Lounge,Arc,"The O.W. Lee Arc Sling Chaise offers streamlined relaxation with a contemporary edge. Featuring a sculpted aluminum frame and supportive sling seating, this outdoor chaise lounge reflects the collection’s nautical inspiration and minimalist design philosophy. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sling Chaise offers streamlined relaxation with a contemporary edge. Featuring a sculpted aluminum frame and supportive sling seating, this outdoor chaise lounge reflects the collection’s nautical inspiration and minimalist design philosophy. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '38.5', 'collection': 'Arc', 'weight_lbs': '53', 'arm_height_in': '21.5', 'seat_height_in': '15.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34198-CH-Chaise.pdf', 'depth_length_in': '85.5', 'width_diameter_in': '30.25'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34184-3S,Arc Sofa,Arc,"The O.W. Lee Arc Sofa delivers spacious seating with a sleek, modern presence. Sculpted lines and generous cushions make this outdoor sofa a striking focal point that balances luxury, comfort, and minimalist design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Sofa delivers spacious seating with a sleek, modern presence. Sculpted lines and generous cushions make this outdoor sofa a striking focal point that balances luxury, comfort, and minimalist design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '34', 'collection': 'Arc', 'weight_lbs': '138 (pkg)', 'arm_height_in': '23.5', 'seat_height_in': '19', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-3S-Sofa.pdf', 'depth_length_in': '38.25', 'width_diameter_in': '84'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
3433-SR,Arc Swivel Rocker Dining Arm Chair,Arc,"The O.W. Lee Arc Swivel Rocker Dining Arm Chair enhances contemporary dining with smooth swivel and gentle rocking motion. Flowing lines and minimalist detailing echo the collection’s yacht-inspired design while offering relaxed functionality. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Swivel Rocker Dining Arm Chair enhances contemporary dining with smooth swivel and gentle rocking motion. Flowing lines and minimalist detailing echo the collection’s yacht-inspired design while offering relaxed functionality. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.5', 'collection': 'Arc', 'weight_lbs': '38', 'arm_height_in': '25', 'seat_height_in': '19.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-SR-Swivel-Rocker-Dining-Arm-Chair.pdf', 'depth_length_in': '28.25', 'width_diameter_in': '24'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
34184-SR,Arc Swivel Rocker Lounge Chair,Arc,"The O.W. Lee Arc Swivel Rocker Lounge Chair adds fluid motion to modern outdoor relaxation. Smooth swivel and gentle rocking complement the collection’s flowing design language, creating a lounge chair that feels both dynamic and serene. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Arc Swivel Rocker Lounge Chair adds fluid motion to modern outdoor relaxation. Smooth swivel and gentle rocking complement the collection’s flowing design language, creating a lounge chair that feels both dynamic and serene. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '37.75', 'collection': 'Arc', 'weight_lbs': '62 (pkg)', 'arm_height_in': '22.75', 'seat_height_in': '17.75', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-SR-Swivel-Rocker-Lounge-Chair.pdf', 'depth_length_in': '37.25', 'width_diameter_in': '32'}","['o-w-lee', 'arc', 'made-in-usa']",Aluminum
27179-CH,Aris Adjustable Chaise,Aris,"O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty.","O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty.","{'height_in': '39', 'collection': 'Aris', 'weight_lbs': '83', 'arm_height_in': '19.75', 'seat_height_in': '16', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27179-CH-Adjustable-Chaise.pdf', 'depth_length_in': '66.25', 'width_diameter_in': '30'}","['o-w-lee', 'aris', 'made-in-usa']",Aluminum
